model,df_len,epochs,seq_length,batch_size,learning_rate,hidden_size,n_layers,rnn_dropout,fc_dropout,val_accuracy,time
lstm_class,39993,20,10,64,1e-06,50,1,0,0,0.48,52.40986633300781
lstm_class,39993,20,20,16,1e-06,50,8,0.6,0.4,0.59,405.6237576007843
lstm_class,39993,20,20,128,1e-05,200,8,0.2,0.2,0.55,112.67943716049194
lstm_class,39993,20,10,64,0.01,50,2,0.2,0.6,0.36,28.407057523727417
lstm_class,39993,20,40,16,1e-06,50,1,0.6,0.2,0.54,215.28574132919312
lstm_class,39993,20,20,64,1e-06,100,2,0.4,0,0.46,62.83258938789368
lstm_class,39993,20,50,128,0.01,50,8,0,0.6,0.59,37.53934025764465
lstm_class,39993,20,50,64,1e-06,50,4,0.4,0.2,0.55,80.36794757843018
lstm_class,39993,20,40,128,0.0001,200,1,0.4,0.6,0.49,32.56835865974426
lstm_class,39993,20,20,32,0.001,25,1,0.4,0.2,0.55,99.42492151260376
lstm_class,39993,20,30,16,0.0001,25,8,0.6,0.4,0.48,303.70393657684326
lstm_class,39993,20,5,16,0.01,50,8,0,0.4,0.53,135.59336256980896
lstm_class,39993,20,50,128,0.01,100,8,0.6,0.6,0.59,72.43371725082397
lstm_class,39993,20,50,32,0.001,50,8,0,0.4,0.58,193.20454478263855
lstm_class,39993,20,5,128,1e-05,50,4,0.6,0.6,0.55,38.22023153305054
lstm_class,39993,20,30,16,0.01,50,8,0,0.4,0.41,165.4734444618225
lstm_class,39993,20,50,128,0.01,25,8,0,0.6,0.56,36.869526624679565
lstm_class,39993,20,20,16,1e-06,100,8,0.6,0.4,0.54,409.44627499580383
lstm_class,39993,20,50,32,0.0001,200,2,0.2,0,0.5,138.52698874473572
lstm_class,39993,20,20,128,1e-05,50,4,0,0.6,0.51,38.25180220603943
lstm_class,39993,20,30,16,0.001,50,8,0.6,0.4,0.52,364.1605062484741
lstm_class,39993,20,50,128,0.01,100,8,0.6,0.6,0.47,63.53911900520325
