model,df_len,epochs,seq_length,batch_size,learning_rate,d_model,n_layers,n_heads,d_ff,dropout,val_accuracy,time
tst_class,199961,20,50,16,1e-05,256,8,16,1024,0.2,0.57,3181.8421511650085
tst_class,199961,20,40,128,0.01,64,2,32,512,0.2,0.56,200.99576115608207
tst_class,199961,20,20,32,1e-06,128,4,16,256,0.6,0.6,2538.5943491458893
tst_class,199961,20,50,64,1e-06,128,8,16,1024,0.0,0.54,2416.3997156620026
tst_class,199961,20,20,16,1e-06,512,1,16,512,0.2,0.54,1723.5963642597198
tst_class,199961,20,50,32,0.01,512,2,32,1024,0.2,0.43,1245.1114780902865
tst_class,199961,20,10,64,0.0001,64,2,8,128,0.2,0.53,292.6665976047516
tst_class,199961,20,40,64,0.001,64,8,32,256,0.2,0.37,681.6323440074921
tst_class,199961,20,20,64,1e-06,256,1,8,1024,0.4,0.52,501.2276992797852
tst_class,199961,20,30,128,1e-05,256,2,16,1024,0.0,0.49,306.4832532405853
tst_class,199961,20,5,32,0.001,128,4,16,256,0.6,0.49,1116.17382979393
tst_class,199961,20,50,16,1e-05,128,4,16,256,0.6,0.58,3291.228903055191
tst_class,199961,20,20,32,1e-05,128,4,16,256,0.6,0.57,2101.524633169174
tst_class,199961,20,30,16,0.0001,128,4,16,256,0.6,0.61,1983.3778779506683
tst_class,199961,20,30,32,0.0001,128,4,16,256,0.6,0.57,1010.4552717208862
tst_class,199961,20,30,16,0.0001,128,4,8,128,0.6,0.45,2016.961549282074
tst_class,199961,20,10,16,0.0001,128,4,16,256,0.4,0.53,1500.876104593277
tst_class,199961,20,5,32,1e-06,128,4,16,256,0.6,0.41,2484.502710580826
tst_class,199961,20,30,128,1e-06,512,4,8,256,0.6,0.61,1913.442525863648
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.6,0.67,443.4341871738434
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.63,468.60334372520447
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.58,487.52713799476624
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.6,491.8058979511261
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.65,497.9396238327026
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.68,193.27933716773987
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.63,188.2202661037445
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.55,410.8656551837921
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.63,494.03953862190247
tst_class,199961,20,5,128,0.01,512,1,8,512,0.0,0.51,94.37472987174988
tst_class,199961,20,10,128,0.001,256,1,8,512,0.4,0.6,138.9730293750763
tst_class,199961,20,40,128,0.0001,512,8,8,128,0.4,0.47,2655.8306756019592
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.56,273.5630497932434
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.65,446.92504358291626
tst_class,199961,20,30,128,0.0001,512,1,32,512,0.4,0.41,223.46614694595337
tst_class,199961,20,30,128,0.01,512,1,8,512,0.4,0.57,312.3867218494415
tst_class,199961,20,40,128,0.0001,64,1,8,512,0.0,0.49,92.23419737815856
tst_class,199961,20,30,128,0.0001,512,1,32,512,0.4,0.56,224.3003504276276
tst_class,199961,20,50,128,0.0001,512,8,8,512,0.4,0.63,2819.7465245723724
tst_class,199961,20,30,64,0.01,512,1,8,512,0.2,0.43,243.57612013816836
tst_class,199961,20,20,128,0.001,64,2,32,128,0.0,0.6,109.94684743881226
tst_class,199961,20,10,64,1e-05,256,1,8,1024,0.2,0.41,247.7911081314087
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.54,333.9727680683136
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.51,448.1848313808441
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.59,449.8583960533142
tst_class,199961,20,50,128,0.0001,512,2,8,512,0.4,0.42,553.35147356987
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.39,196.9712109565735
tst_class,199961,20,40,128,0.0001,64,8,8,1024,0.6,0.57,891.149168252945
tst_class,199961,20,30,64,1e-05,512,1,32,512,0.2,0.51,267.7741813659668
tst_class,199961,20,20,16,0.001,256,1,8,512,0.4,0.58,687.2550411224365
tst_class,199961,20,5,32,1e-06,512,2,8,128,0.6,0.62,1479.077101945877
tst_class,199961,20,30,128,0.0001,512,1,8,1024,0.0,0.62,540.8499937057495
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.64,489.4858074188232
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.53,196.1766550540924
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.56,392.8006136417389
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.6,389.6830565929413
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.6,0.63,337.958441734314
tst_class,199961,20,30,16,0.0001,512,1,8,512,0.4,0.59,1650.6021387577057
tst_class,199961,20,50,32,1e-06,64,8,8,512,0.4,0.56,4914.719909191132
tst_class,199961,20,10,128,0.01,256,1,16,512,0.6,0.55,230.9955816268921
tst_class,199961,20,30,128,1e-05,512,1,8,128,0.4,0.45,322.8495361804962
tst_class,199961,20,20,128,0.0001,512,2,32,512,0.4,0.62,373.8780539035797
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.57,224.3818295001984
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.62,269.64669704437256
tst_class,199961,20,30,128,0.0001,512,1,8,512,0.4,0.46,358.1347019672394
tst_class,199961,20,5,128,0.0001,512,1,8,512,0.4,0.58,103.20151376724243
