model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy,test_size,task,time_step,lag_minute,index_bin
lstm_class,199961,20,15,True,0.95,1min,15,False,0.5162064825930373,5%,class,1min,15,True
lstm_class,199961,20,1,True,0.95,,1,True,0.5071535767883942,5%,class,1min,1,False
lstm_class,199961,20,15,False,0.95,1min,15,False,0.485594237695078,5%,class,1min,15,True
lstm_class,199961,20,5,False,0.95,,5,True,0.5165582791395698,5%,class,1min,5,False
lstm_class,199961,20,1,True,0.95,,15,False,0.5041512453736121,5%,class,1min,1,False
lstm_class,199961,20,15,True,0.95,1min,15,False,0.5119047619047619,5%,class,1min,15,True
lstm_class,199961,20,15,True,0.95,,15,True,0.5210605302651325,5%,class,1min,15,False
lstm_class,199961,20,1,False,0.95,1min,15,False,0.4963489046714014,5%,class,1min,1,True
lstm_class,199961,20,1,False,0.95,1min,1,True,0.5069534767383692,5%,class,1min,1,True
lstm_class,199961,20,15,False,0.95,1min,15,False,0.4923969587835134,5%,class,1min,15,True
lstm_class,199961,20,5,True,0.95,,10,True,0.4938469234617308,5%,class,1min,5,False
lstm_class,199961,20,5,False,0.95,,5,True,0.5106553276638319,5%,class,1min,5,False
lstm_class,199961,20,5,False,0.95,,5,True,0.5125562781390696,5%,class,1min,5,False
lstm_class,199961,20,5,True,0.95,,5,True,0.5064532266133066,5%,class,1min,5,False
lstm_class,199961,20,5,False,0.95,,3,True,0.5144572286143072,5%,class,1min,5,False
lstm_class,199961,20,15,True,0.95,,3,True,0.5076538269134567,5%,class,1min,15,False
lstm_class,199961,20,5,True,0.95,,10,True,0.5016508254127063,5%,class,1min,5,False
lstm_class,199961,20,15,False,0.95,,5,True,0.5023511755877939,5%,class,1min,15,False
lstm_class,199961,20,15,False,0.95,,5,True,0.5208604302151075,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,10,True,0.5074537268634317,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,1,True,0.5196598299149575,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,1,True,0.5111555777888944,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,1,True,0.4980490245122561,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,1,True,0.5077538769384692,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,3,True,0.5070535267633817,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,5,True,0.5086543271635818,5%,class,1min,15,False
lstm_class,199961,20,15,False,0.95,,1,True,0.4976488244122061,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,15,True,0.5127563781890946,5%,class,1min,15,False
lstm_class,199961,20,15,False,0.95,,1,True,0.5005502751375688,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,1min,5,False,0.5126050420168067,5%,class,1min,15,True
lstm_class,199961,20,15,True,0.95,,15,True,0.495447723861931,5%,class,1min,15,False
lstm_class,199961,20,5,False,0.95,,5,True,0.5164582291145573,5%,class,1min,5,False
lstm_class,199961,20,5,False,0.95,,5,True,0.503751875937969,5%,class,1min,5,False
lstm_class,199961,20,1,False,0.95,,5,True,0.512056028014007,5%,class,1min,1,False
lstm_class,199961,20,15,False,0.95,,5,True,0.4961480740370185,5%,class,1min,15,False
lstm_class,199961,20,1,False,0.95,,15,False,0.5032509752925878,5%,class,1min,1,False
lstm_class,199961,20,5,False,0.95,1min,1,True,0.5145572786393197,5%,class,1min,5,True
lstm_class,199961,20,15,True,0.95,,15,False,0.5191076430572229,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,15,False,0.4980992396958783,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,1min,15,False,0.5111044417767107,5%,class,1min,15,True
lstm_class,199961,20,15,True,0.95,,15,False,0.5240096038415366,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,15,False,0.4996998799519808,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,15,False,0.4918967587034814,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,15,False,0.4844937975190076,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,15,False,0.5035014005602241,5%,class,1min,15,False
lstm_class,199961,20,1,True,0.95,1min,15,False,0.5016504951485445,5%,class,1min,1,True
lstm_class,199961,20,15,True,0.95,,10,False,0.5081032412965186,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,15,False,0.5071028411364545,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,,3,False,0.5213085234093637,5%,class,1min,15,False
lstm_class,199961,20,15,True,0.95,1min,3,False,0.4876950780312125,5%,class,1min,15,True
