model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy,test_size,task,time_step,lag_minute,index_bin
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,False,0.53,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,False,0.45,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,False,0.51,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,False,0.53,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,False,0.5,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,,None,True,0.46,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,False,0.95,,None,False,0.5,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.49,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,False,0.47,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,,None,True,0.53,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,False,0.53,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,False,0.53,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,False,0.5,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,False,0.51,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,False,0.53,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.56,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.55,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.51,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.54,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.52,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.51,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.46,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.52,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.52,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.53,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.57,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.5,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.58,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.54,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.53,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.51,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.51,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.54,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.43,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.51,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.52,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.51,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.47,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.49,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.44,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.51,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.49,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.5,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.5,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.54,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.44,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,False,0.95,,None,True,0.58,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,False,0.52,100,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,,None,True,0.56,100,reg,15min,15,False
lstm_fcn_reg,14998,20,1,False,0.95,,None,True,0.55,100,reg,15min,15,False
