model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy,test_size,task,time_step,lag_minute,index_bin
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5127175368139224,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5100401606425703,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,,None,False,0.5086782376502003,5%,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,,None,False,0.4979973297730307,5%,reg,15min,15,False
lstm_fcn_reg,14998,20,1,False,0.95,,None,False,0.4445927903871829,5%,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.4953145917001338,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4912985274431057,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,,None,True,0.4953145917001338,5%,reg,15min,15,False
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5247657295850067,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.5087014725568942,5%,reg,15min,15,False
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,False,0.4819759679572764,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4912985274431057,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5113788487282463,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5274431057563588,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4899598393574297,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5087014725568942,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5194109772423026,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5100401606425703,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,False,0.4859813084112149,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5194109772423026,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.4926372155287818,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5060240963855421,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.4912985274431057,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.499330655957162,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5113788487282463,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5153949129852744,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,,None,False,0.4859813084112149,5%,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5046854082998661,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4685408299866131,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.4939759036144578,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5180722891566265,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4846050870147255,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.535475234270415,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4912985274431057,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4926372155287818,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,,None,False,0.4966622162883845,5%,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.4953145917001338,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,,None,False,0.507343124165554,5%,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5073627844712182,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5087014725568942,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.5113788487282463,5%,reg,15min,15,False
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4765729585006693,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4872824631860776,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5060240963855421,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5087014725568942,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4846050870147255,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,False,0.5246995994659546,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,False,0.5126835781041389,5%,reg,15min,15,True
lstm_fcn_reg,14998,20,1,False,0.95,,None,False,0.4953271028037383,5%,reg,15min,15,False
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,False,0.514018691588785,5%,reg,15min,15,True
