model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy,test_size,task,time_step,lag_minute,index_bin
lstm_reg,199961,20,15,False,0.95,1min,None,False,0.5094037615046019,5%,reg,1min,15,True
lstm_reg,199961,20,5,True,0.95,,None,False,0.5049514854456337,5%,reg,1min,5,False
lstm_reg,199961,20,1,True,0.95,,None,True,0.4989494747373686,5%,reg,1min,1,False
lstm_reg,199961,20,15,True,0.95,,None,True,0.4986493246623311,5%,reg,1min,15,False
lstm_reg,199961,20,15,False,0.95,1min,None,True,0.5078539269634817,5%,reg,1min,15,True
lstm_reg,199961,20,1,True,0.95,,None,False,0.4913474042212664,5%,reg,1min,1,False
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.5079539769884942,5%,reg,1min,1,True
lstm_reg,199961,20,5,False,0.95,1min,None,True,0.4998499249624812,5%,reg,1min,5,True
lstm_reg,199961,20,15,True,0.95,,None,True,0.5091545772886443,5%,reg,1min,15,False
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5079031612645059,5%,reg,1min,15,True
lstm_reg,199961,20,15,False,0.95,1min,None,False,0.4986994797919167,5%,reg,1min,15,True
lstm_reg,199961,20,15,False,0.95,,None,False,0.5033013205282113,5%,reg,1min,15,False
lstm_reg,199961,20,15,True,0.95,,None,False,0.4992997198879552,5%,reg,1min,15,False
lstm_reg,199961,20,15,False,0.95,1min,None,True,0.4987493746873436,5%,reg,1min,15,True
lstm_reg,199961,20,15,False,0.95,1min,None,False,0.5008003201280512,5%,reg,1min,15,True
lstm_reg,199961,20,5,True,0.95,,None,True,0.4992496248124062,5%,reg,1min,5,False
lstm_reg,199961,20,15,True,0.95,,None,True,0.5068534267133566,5%,reg,1min,15,False
lstm_reg,199961,20,15,False,0.95,1min,None,False,0.5003001200480192,5%,reg,1min,15,True
lstm_reg,199961,20,5,True,0.95,,None,False,0.5021506451935581,5%,reg,1min,5,False
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.4989494747373686,5%,reg,1min,1,True
lstm_reg,199961,20,15,True,0.95,,None,False,0.4940976390556222,5%,reg,1min,15,False
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.5016508254127063,5%,reg,1min,1,True
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.5014507253626813,5%,reg,1min,1,True
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.4829414707353677,5%,reg,1min,1,True
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.503751875937969,5%,reg,1min,1,True
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.496048024012006,5%,reg,1min,1,True
lstm_reg,199961,20,15,False,0.95,1min,None,True,0.4930465232616308,5%,reg,1min,15,True
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.4955477738869435,5%,reg,1min,1,True
lstm_reg,199961,20,5,True,0.95,,None,False,0.4977493247974392,5%,reg,1min,5,False
lstm_reg,199961,20,15,True,0.95,,None,False,0.5049019607843137,5%,reg,1min,15,False
lstm_reg,199961,20,5,False,0.95,1min,None,True,0.4943471735867934,5%,reg,1min,5,True
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5018007202881153,5%,reg,1min,15,True
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5022008803521408,5%,reg,1min,15,True
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5113045218087235,5%,reg,1min,15,True
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5090036014405762,5%,reg,1min,15,True
lstm_reg,199961,20,15,True,0.95,,None,False,0.5047018807523009,5%,reg,1min,15,False
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5002000800320128,5%,reg,1min,15,True
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5017006802721088,5%,reg,1min,15,True
lstm_reg,199961,20,15,True,0.95,,None,False,0.5027010804321729,5%,reg,1min,15,False
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5001000400160064,5%,reg,1min,15,True
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.4955982392957183,5%,reg,1min,15,True
lstm_reg,199961,20,15,True,0.95,1min,None,True,0.5023511755877939,5%,reg,1min,15,True
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.494148244473342,5%,reg,1min,1,True
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5110044017607043,5%,reg,1min,15,True
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.498499399759904,5%,reg,1min,15,True
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5069027611044418,5%,reg,1min,15,True
lstm_reg,199961,20,15,True,0.95,,None,False,0.493797519007603,5%,reg,1min,15,False
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5073029211684674,5%,reg,1min,15,True
lstm_reg,199961,20,15,True,0.95,,None,False,0.4992997198879552,5%,reg,1min,15,False
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5035014005602241,5%,reg,1min,15,True
