model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy,test_size,task,time_step,lag_minute,index_bin
lstm_reg,39993,20,1,False,0.95,5min,None,True,0.4962443665498247,100,reg,5min,5,True
lstm_reg,39993,20,1,False,0.95,,None,False,0.4747373686843422,100,reg,5min,5,False
lstm_reg,39993,20,1,False,0.95,5min,None,True,0.4992488733099649,100,reg,5min,5,True
lstm_reg,39993,20,3,True,0.95,,None,False,0.4927463731865933,100,reg,5min,15,False
lstm_reg,39993,20,1,False,0.95,5min,None,False,0.5012506253126563,100,reg,5min,5,True
lstm_reg,39993,20,3,False,0.95,,None,False,0.496248124062031,100,reg,5min,15,False
lstm_reg,39993,20,1,True,0.95,5min,None,False,0.4922461230615307,100,reg,5min,5,True
lstm_reg,39993,20,1,True,0.95,,None,False,0.5077538769384692,100,reg,5min,5,False
lstm_reg,39993,20,1,False,0.95,,None,True,0.4807210816224336,100,reg,5min,5,False
lstm_reg,39993,20,1,True,0.95,5min,None,False,0.4862431215607803,100,reg,5min,5,True
lstm_reg,39993,20,3,True,0.95,,None,True,0.4867300951427141,100,reg,5min,15,False
lstm_reg,39993,20,1,True,0.95,5min,None,False,0.497248624312156,100,reg,5min,5,True
lstm_reg,39993,20,1,True,0.95,5min,None,False,0.4952476238119059,100,reg,5min,5,True
lstm_reg,39993,20,1,False,0.95,,None,False,0.5082541270635318,100,reg,5min,5,False
lstm_reg,39993,20,3,True,0.95,,None,False,0.4832416208104052,100,reg,5min,15,False
lstm_reg,39993,20,1,False,0.95,,None,False,0.5072536268134067,100,reg,5min,5,False
lstm_reg,39993,20,1,False,0.95,,None,False,0.5047523761880941,100,reg,5min,5,False
lstm_reg,39993,20,1,True,0.95,,None,False,0.4892446223111555,100,reg,5min,5,False
lstm_reg,39993,20,3,True,0.95,,None,True,0.4962443665498247,100,reg,5min,15,False
lstm_reg,39993,20,1,False,0.95,,None,False,0.5057528764382191,100,reg,5min,5,False
lstm_reg,39993,20,1,False,0.95,,None,False,0.4992496248124062,100,reg,5min,5,False
lstm_reg,39993,20,1,False,0.95,,None,False,0.4957478739369685,100,reg,5min,5,False
lstm_reg,39993,20,1,False,0.95,,None,False,0.497248624312156,100,reg,5min,5,False
lstm_reg,39993,20,1,False,0.95,,None,False,0.5022511255627814,100,reg,5min,5,False
lstm_reg,39993,20,1,False,0.95,,None,False,0.4952476238119059,100,reg,5min,5,False
lstm_reg,39993,20,1,False,0.95,,None,False,0.4982491245622811,100,reg,5min,5,False
lstm_reg,39993,20,1,True,0.95,,None,True,0.4977466199298948,100,reg,5min,5,False
lstm_reg,39993,20,3,False,0.95,,None,False,0.5077538769384692,100,reg,5min,15,False
lstm_reg,39993,20,3,True,0.95,,None,False,0.4912456228114057,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,,None,True,0.5237856785177767,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,,None,True,0.5022533800701051,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,,None,True,0.4942413620430645,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,,None,True,0.4952428642964446,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,,None,True,0.5017526289434151,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,,None,True,0.4902353530295443,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,,None,True,0.514772158237356,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,5min,None,True,0.5027541311967952,100,reg,5min,15,True
lstm_reg,39993,20,3,False,0.95,,None,True,0.4907361041562343,100,reg,5min,15,False
lstm_reg,39993,20,3,True,0.95,,None,True,0.5012518778167251,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,5min,None,True,0.4972458688032048,100,reg,5min,15,True
lstm_reg,39993,20,3,False,0.95,,None,True,0.5042563845768653,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,,None,False,0.5067533766883442,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,,None,False,0.5047523761880941,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,,None,True,0.4947421131697546,100,reg,5min,15,False
lstm_reg,39993,20,3,False,0.95,,None,False,0.5177588794397199,100,reg,5min,15,False
lstm_reg,39993,20,3,True,0.95,5min,None,False,0.4812406203101551,100,reg,5min,15,True
lstm_reg,39993,20,1,False,0.95,,None,True,0.4877315973960941,100,reg,5min,5,False
lstm_reg,39993,20,3,True,0.95,,None,False,0.4932466233116558,100,reg,5min,15,False
lstm_reg,39993,20,1,False,0.95,5min,None,False,0.4992496248124062,100,reg,5min,5,True
lstm_reg,39993,20,3,True,0.95,,None,True,0.5032548823234853,100,reg,5min,15,False
