model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy,test_size,task,time_step,lag_minute,index_bin
mini_rocket_reg,39993,20,1,False,0.95,,None,False,0.5,100,reg,5min,5,False
mini_rocket_reg,39993,20,3,True,0.95,5min,None,False,0.49,100,reg,5min,15,True
mini_rocket_reg,39993,20,1,True,0.95,5min,None,False,0.51,100,reg,5min,5,True
mini_rocket_reg,39993,20,3,False,0.95,,None,False,0.45,100,reg,5min,15,False
mini_rocket_reg,39993,20,1,True,0.95,5min,None,True,0.55,100,reg,5min,5,True
mini_rocket_reg,39993,20,3,False,0.95,5min,None,False,0.48,100,reg,5min,15,True
mini_rocket_reg,39993,20,1,True,0.95,5min,None,False,0.46,100,reg,5min,5,True
mini_rocket_reg,39993,20,1,True,0.95,,None,False,0.52,100,reg,5min,5,False
mini_rocket_reg,39993,20,3,False,0.95,5min,None,False,0.5,100,reg,5min,15,True
mini_rocket_reg,39993,20,1,True,0.95,,None,True,0.47,100,reg,5min,5,False
mini_rocket_reg,39993,20,1,True,0.95,5min,None,True,0.5,100,reg,5min,5,True
mini_rocket_reg,39993,20,1,True,0.95,,None,True,0.52,100,reg,5min,5,False
mini_rocket_reg,39993,20,1,True,0.95,,None,True,0.51,100,reg,5min,5,False
mini_rocket_reg,39993,20,1,True,0.95,,None,True,0.53,100,reg,5min,5,False
mini_rocket_reg,39993,20,1,True,0.95,,None,True,0.46,100,reg,5min,5,False
mini_rocket_reg,39993,20,1,True,0.95,5min,None,True,0.52,100,reg,5min,5,True
mini_rocket_reg,39993,20,1,True,0.95,5min,None,True,0.5,100,reg,5min,5,True
mini_rocket_reg,39993,20,1,True,0.95,,None,True,0.46,100,reg,5min,5,False
mini_rocket_reg,39993,20,3,False,0.95,,None,True,0.49,100,reg,5min,15,False
mini_rocket_reg,39993,20,1,True,0.95,5min,None,True,0.49,100,reg,5min,5,True
mini_rocket_reg,39993,20,1,True,0.95,5min,None,True,0.55,100,reg,5min,5,True
mini_rocket_reg,39993,20,1,True,0.95,5min,None,True,0.5,100,reg,5min,5,True
mini_rocket_reg,39993,20,1,True,0.95,5min,None,True,0.47,100,reg,5min,5,True
mini_rocket_reg,39993,20,1,True,0.95,5min,None,True,0.48,100,reg,5min,5,True
mini_rocket_reg,39993,20,1,True,0.95,5min,None,True,0.48,100,reg,5min,5,True
mini_rocket_reg,39993,20,1,True,0.95,5min,None,True,0.52,100,reg,5min,5,True
mini_rocket_reg,39993,20,3,False,0.95,,None,True,0.55,100,reg,5min,15,False
mini_rocket_reg,39993,20,3,False,0.95,5min,None,True,0.49,100,reg,5min,15,True
mini_rocket_reg,39993,20,3,False,0.95,,None,True,0.52,100,reg,5min,15,False
mini_rocket_reg,39993,20,3,False,0.95,,None,True,0.53,100,reg,5min,15,False
mini_rocket_reg,39993,20,3,False,0.95,5min,None,True,0.51,100,reg,5min,15,True
mini_rocket_reg,39993,20,1,False,0.95,,None,True,0.51,100,reg,5min,5,False
mini_rocket_reg,39993,20,3,False,0.95,,None,True,0.49,100,reg,5min,15,False
mini_rocket_reg,39993,20,1,True,0.95,,None,True,0.46,100,reg,5min,5,False
mini_rocket_reg,39993,20,3,True,0.95,,None,True,0.51,100,reg,5min,15,False
mini_rocket_reg,39993,20,1,False,0.95,,None,False,0.54,100,reg,5min,5,False
mini_rocket_reg,39993,20,3,False,0.95,5min,None,False,0.53,100,reg,5min,15,True
mini_rocket_reg,39993,20,1,False,0.95,,None,False,0.48,100,reg,5min,5,False
mini_rocket_reg,39993,20,3,False,0.95,5min,None,False,0.49,100,reg,5min,15,True
mini_rocket_reg,39993,20,1,False,0.95,,None,False,0.46,100,reg,5min,5,False
mini_rocket_reg,39993,20,1,False,0.95,5min,None,False,0.52,100,reg,5min,5,True
mini_rocket_reg,39993,20,1,True,0.95,,None,False,0.48,100,reg,5min,5,False
mini_rocket_reg,39993,20,1,False,0.95,,None,False,0.48,100,reg,5min,5,False
mini_rocket_reg,39993,20,1,True,0.95,,None,True,0.44,100,reg,5min,5,False
mini_rocket_reg,39993,20,1,True,0.95,,None,False,0.5,100,reg,5min,5,False
mini_rocket_reg,39993,20,1,False,0.95,,None,True,0.48,100,reg,5min,5,False
mini_rocket_reg,39993,20,1,True,0.95,,None,True,0.56,100,reg,5min,5,False
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.51,100,reg,5min,15,False
mini_rocket_reg,39993,20,1,True,0.95,5min,None,True,0.49,100,reg,5min,5,True
mini_rocket_reg,39993,20,1,False,0.95,,None,True,0.52,100,reg,5min,5,False
