model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy,test_size,task,time_step,lag_minute,index_bin
tst_class,39993,20,1,True,0.95,5min,3,False,0.5092546273136568,100,class,5min,5,True
tst_class,39993,20,3,True,0.95,5min,1,False,0.5077538769384692,100,class,5min,15,True
tst_class,39993,20,1,False,0.95,,3,True,0.4977466199298948,100,class,5min,5,False
tst_class,39993,20,3,True,0.95,5min,1,True,0.4967451176765147,100,class,5min,15,True
tst_class,39993,20,3,False,0.95,5min,3,False,0.497248624312156,100,class,5min,15,True
tst_class,39993,20,3,False,0.95,5min,3,False,0.5117558779389695,100,class,5min,15,True
tst_class,39993,20,1,False,0.95,,1,True,0.5102653980971458,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,5min,3,False,0.5007503751875938,100,class,5min,5,True
tst_class,39993,20,1,False,0.95,5min,10,True,0.4942413620430645,100,class,5min,5,True
tst_class,39993,20,3,False,0.95,,1,False,0.5027513756878439,100,class,5min,15,False
tst_class,39993,20,3,False,0.95,,15,False,0.4897448724362181,100,class,5min,15,False
tst_class,39993,20,1,False,0.95,,5,True,0.5052578868302454,100,class,5min,5,False
tst_class,39993,20,3,False,0.95,,15,True,0.5007511266900351,100,class,5min,15,False
tst_class,39993,20,1,False,0.95,,5,True,0.5257886830245369,100,class,5min,5,False
tst_class,39993,20,3,False,0.95,,5,True,0.4837255883825738,100,class,5min,15,False
tst_class,39993,20,1,False,0.95,5min,5,False,0.4827413706853427,100,class,5min,5,True
tst_class,39993,20,1,False,0.95,5min,10,True,0.4987481221832749,100,class,5min,5,True
tst_class,39993,20,3,False,0.95,,5,False,0.5027513756878439,100,class,5min,15,False
tst_class,39993,20,1,True,0.95,5min,3,True,0.5097646469704556,100,class,5min,5,True
tst_class,39993,20,3,False,0.95,,5,False,0.4882441220610305,100,class,5min,15,False
tst_class,39993,20,3,False,0.95,5min,15,True,0.4832248372558838,100,class,5min,15,True
tst_class,39993,20,1,False,0.95,,1,True,0.5047571357035553,100,class,5min,5,False
tst_class,39993,20,1,False,0.95,,1,True,0.513770655983976,100,class,5min,5,False
tst_class,39993,20,1,False,0.95,,10,True,0.4987481221832749,100,class,5min,5,False
tst_class,39993,20,1,False,0.95,,5,True,0.4982473710565849,100,class,5min,5,False
tst_class,39993,20,1,False,0.95,,3,True,0.5042563845768653,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,1,False,0.5157578789394698,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,1,True,0.5107661492238358,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,1,False,0.4917458729364682,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,1,False,0.5117558779389695,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,1,True,0.4972458688032048,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,3,False,0.5062531265632816,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,5min,1,False,0.5097548774387194,100,class,5min,5,True
tst_class,39993,20,1,False,0.95,,3,False,0.5032516258129065,100,class,5min,5,False
tst_class,39993,20,3,True,0.95,5min,1,False,0.4997498749374687,100,class,5min,15,True
tst_class,39993,20,1,False,0.95,,5,False,0.4977488744372186,100,class,5min,5,False
tst_class,39993,20,3,True,0.95,5min,3,False,0.5017508754377189,100,class,5min,15,True
tst_class,39993,20,1,False,0.95,,1,True,0.5087631447170756,100,class,5min,5,False
tst_class,39993,20,3,False,0.95,5min,10,False,0.4767383691845923,100,class,5min,15,True
tst_class,39993,20,1,True,0.95,,15,True,0.515272909364046,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,15,True,0.4957436154231347,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,15,True,0.5052578868302454,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,15,True,0.5007511266900351,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,15,True,0.5062593890836254,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,3,True,0.5177766649974962,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,1,True,0.513770655983976,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,3,True,0.5127691537305958,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,5,True,0.515272909364046,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,5,True,0.5112669003505258,100,class,5min,5,False
tst_class,39993,20,1,True,0.95,,5,True,0.513269904857286,100,class,5min,5,False
