model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy,test_size,task,time_step,lag_minute,index_bin
tst_reg,199961,20,15,True,0.95,,None,True,0.5065532766383192,5%,reg,1min,15,False
tst_reg,199961,20,1,True,0.95,1min,None,False,0.4898469540862258,5%,reg,1min,1,True
tst_reg,199961,20,5,False,0.95,,None,True,0.4921460730365182,5%,reg,1min,5,False
tst_reg,199961,20,15,False,0.95,1min,None,True,0.503551775887944,5%,reg,1min,15,True
tst_reg,199961,20,5,True,0.95,1min,None,False,0.5002500750225067,5%,reg,1min,5,True
tst_reg,199961,20,1,False,0.95,1min,None,True,0.5059529764882441,5%,reg,1min,1,True
tst_reg,199961,20,5,False,0.95,,None,True,0.5062531265632816,5%,reg,1min,5,False
tst_reg,199961,20,15,True,0.95,1min,None,True,0.5029514757378689,5%,reg,1min,15,True
tst_reg,199961,20,15,False,0.95,1min,None,True,0.497448724362181,5%,reg,1min,15,True
tst_reg,199961,20,5,False,0.95,1min,None,True,0.5002501250625313,5%,reg,1min,5,True
tst_reg,199961,20,15,True,0.95,,None,False,0.4901960784313725,5%,reg,1min,15,False
tst_reg,199961,20,5,True,0.95,,None,True,0.4912456228114057,5%,reg,1min,5,False
tst_reg,199961,20,15,False,0.95,,None,True,0.4917458729364682,5%,reg,1min,15,False
tst_reg,199961,20,5,True,0.95,,None,True,0.5010505252626313,5%,reg,1min,5,False
tst_reg,199961,20,1,False,0.95,,None,False,0.5075522656797039,5%,reg,1min,1,False
tst_reg,199961,20,1,True,0.95,,None,False,0.496148844653396,5%,reg,1min,1,False
tst_reg,199961,20,1,False,0.95,,None,False,0.5021506451935581,5%,reg,1min,1,False
tst_reg,199961,20,1,True,0.95,,None,False,0.4932479743923177,5%,reg,1min,1,False
tst_reg,199961,20,15,False,0.95,,None,False,0.5025010004001601,5%,reg,1min,15,False
tst_reg,199961,20,1,True,0.95,,None,False,0.5000500150045013,5%,reg,1min,1,False
tst_reg,199961,20,15,True,0.95,,None,False,0.5033013205282113,5%,reg,1min,15,False
tst_reg,199961,20,5,False,0.95,,None,True,0.4987493746873436,5%,reg,1min,5,False
tst_reg,199961,20,1,False,0.95,,None,True,0.4944472236118059,5%,reg,1min,1,False
tst_reg,199961,20,5,False,0.95,,None,True,0.496248124062031,5%,reg,1min,5,False
tst_reg,199961,20,1,False,0.95,,None,True,0.5016508254127063,5%,reg,1min,1,False
tst_reg,199961,20,15,False,0.95,,None,True,0.5045522761380691,5%,reg,1min,15,False
tst_reg,199961,20,5,False,0.95,,None,False,0.50185055516655,5%,reg,1min,5,False
tst_reg,199961,20,15,False,0.95,,None,True,0.4979489744872436,5%,reg,1min,15,False
tst_reg,199961,20,1,True,0.95,,None,False,0.5003501050315095,5%,reg,1min,1,False
tst_reg,199961,20,5,True,0.95,,None,False,0.5002500750225067,5%,reg,1min,5,False
tst_reg,199961,20,1,False,0.95,,None,True,0.4979489744872436,5%,reg,1min,1,False
tst_reg,199961,20,1,False,0.95,1min,None,True,0.5002501250625313,5%,reg,1min,1,True
tst_reg,199961,20,1,False,0.95,1min,None,True,0.4917458729364682,5%,reg,1min,1,True
tst_reg,199961,20,1,False,0.95,1min,None,True,0.4942471235617809,5%,reg,1min,1,True
tst_reg,199961,20,1,False,0.95,1min,None,True,0.5008504252126063,5%,reg,1min,1,True
tst_reg,199961,20,5,False,0.95,1min,None,True,0.503951975987994,5%,reg,1min,5,True
tst_reg,199961,20,15,False,0.95,1min,None,True,0.5031515757878939,5%,reg,1min,15,True
tst_reg,199961,20,1,False,0.95,1min,None,True,0.5069534767383692,5%,reg,1min,1,True
tst_reg,199961,20,1,True,0.95,1min,None,True,0.5010505252626313,5%,reg,1min,1,True
tst_reg,199961,20,5,False,0.95,1min,None,False,0.4917475242572772,5%,reg,1min,5,True
tst_reg,199961,20,15,False,0.95,,None,True,0.5056528264132066,5%,reg,1min,15,False
tst_reg,199961,20,1,False,0.95,1min,None,True,0.4940470235117559,5%,reg,1min,1,True
tst_reg,199961,20,1,False,0.95,1min,None,True,0.5006503251625813,5%,reg,1min,1,True
tst_reg,199961,20,1,False,0.95,1min,None,True,0.4937468734367183,5%,reg,1min,1,True
tst_reg,199961,20,1,True,0.95,1min,None,True,0.4892446223111555,5%,reg,1min,1,True
tst_reg,199961,20,15,False,0.95,1min,None,True,0.4984492246123062,5%,reg,1min,15,True
tst_reg,199961,20,5,True,0.95,,None,True,0.4912456228114057,5%,reg,1min,5,False
tst_reg,199961,20,1,False,0.95,1min,None,False,0.4948484545363609,5%,reg,1min,1,True
tst_reg,199961,20,15,False,0.95,,None,True,0.4928464232116058,5%,reg,1min,15,False
tst_reg,199961,20,1,True,0.95,,None,False,0.500150045013504,5%,reg,1min,1,False
