model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy,test_size,task,time_step,lag_minute,index_bin
tst_reg,39993,20,3,True,0.95,5min,None,False,0.5032516258129065,100,reg,5min,15,True
tst_reg,39993,20,1,True,0.95,,None,True,0.4977466199298948,100,reg,5min,5,False
tst_reg,39993,20,1,False,0.95,5min,None,False,0.5177588794397199,100,reg,5min,5,True
tst_reg,39993,20,1,True,0.95,5min,None,True,0.513770655983976,100,reg,5min,5,True
tst_reg,39993,20,3,False,0.95,5min,None,False,0.4687343671835918,100,reg,5min,15,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.5192789183775663,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,False,0.5097548774387194,100,reg,5min,5,True
tst_reg,39993,20,3,False,0.95,5min,None,False,0.5077538769384692,100,reg,5min,15,True
tst_reg,39993,20,3,True,0.95,,None,False,0.4982491245622811,100,reg,5min,15,False
tst_reg,39993,20,3,True,0.95,,None,False,0.4977488744372186,100,reg,5min,15,False
tst_reg,39993,20,1,False,0.95,5min,None,True,0.4872308462694041,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.486229344016024,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.4792188282423635,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.513770655983976,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.4987481221832749,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,,None,False,0.5007503751875938,100,reg,5min,5,False
tst_reg,39993,20,1,False,0.95,5min,None,False,0.4987493746873436,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.5002503755633451,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,,None,True,0.4852278417626439,100,reg,5min,5,False
tst_reg,39993,20,1,False,0.95,5min,None,False,0.4807403701850925,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.4992488733099649,100,reg,5min,5,True
tst_reg,39993,20,1,True,0.95,5min,None,True,0.4982473710565849,100,reg,5min,5,True
tst_reg,39993,20,1,True,0.95,5min,None,True,0.4992488733099649,100,reg,5min,5,True
tst_reg,39993,20,1,True,0.95,5min,None,True,0.499749624436655,100,reg,5min,5,True
tst_reg,39993,20,1,True,0.95,5min,None,True,0.499749624436655,100,reg,5min,5,True
tst_reg,39993,20,1,True,0.95,5min,None,True,0.4917376064096144,100,reg,5min,5,True
tst_reg,39993,20,3,True,0.95,,None,False,0.5007503751875938,100,reg,5min,15,False
tst_reg,39993,20,1,False,0.95,5min,None,True,0.4842263395092639,100,reg,5min,5,True
tst_reg,39993,20,1,True,0.95,5min,None,False,0.512256128064032,100,reg,5min,5,True
tst_reg,39993,20,3,True,0.95,5min,None,False,0.5172586293146574,100,reg,5min,15,True
tst_reg,39993,20,3,False,0.95,5min,None,False,0.4997498749374687,100,reg,5min,15,True
tst_reg,39993,20,3,True,0.95,5min,None,False,0.4987493746873436,100,reg,5min,15,True
tst_reg,39993,20,3,True,0.95,5min,None,False,0.5117558779389695,100,reg,5min,15,True
tst_reg,39993,20,3,True,0.95,5min,None,False,0.4992496248124062,100,reg,5min,15,True
tst_reg,39993,20,3,True,0.95,5min,None,False,0.5007503751875938,100,reg,5min,15,True
tst_reg,39993,20,3,True,0.95,5min,None,False,0.496248124062031,100,reg,5min,15,True
tst_reg,39993,20,1,True,0.95,,None,True,0.5017526289434151,100,reg,5min,5,False
tst_reg,39993,20,3,False,0.95,5min,None,False,0.5057528764382191,100,reg,5min,15,True
tst_reg,39993,20,1,True,0.95,,None,False,0.5092546273136568,100,reg,5min,5,False
tst_reg,39993,20,3,False,0.95,5min,None,True,0.4942413620430645,100,reg,5min,15,True
tst_reg,39993,20,1,True,0.95,5min,None,False,0.5087543771885943,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.514271407110666,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.4957436154231347,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.5037556334501753,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.4992488733099649,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.4897346019028543,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.4912368552829244,100,reg,5min,5,True
tst_reg,39993,20,1,False,0.95,,None,True,0.5012518778167251,100,reg,5min,5,False
tst_reg,39993,20,3,False,0.95,5min,None,False,0.5042521260630315,100,reg,5min,15,True
tst_reg,39993,20,1,False,0.95,5min,None,True,0.5012518778167251,100,reg,5min,5,True
