model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_class,14998,20,1,False,0.95,,15,False,0.5020026702269693
lstm_class,14998,20,1,True,0.95,15min,3,True,0.48460508701472554
lstm_class,14998,20,1,False,0.95,15min,3,True,0.47121820615796517
lstm_class,14998,20,1,True,0.95,,10,True,0.5194109772423026
lstm_class,14998,20,1,False,0.95,15min,3,False,0.5046728971962616
lstm_class,14998,20,1,True,0.95,,15,True,0.5153949129852744
lstm_class,14998,20,1,False,0.95,15min,15,True,0.5220883534136547
lstm_class,14998,20,1,False,0.95,,10,False,0.49132176234979974
lstm_class,14998,20,1,True,0.95,15min,15,True,0.49129852744310576
lstm_class,14998,20,1,True,0.95,15min,3,False,0.514018691588785
lstm_class,14998,20,1,False,0.95,15min,5,True,0.4979919678714859
lstm_class,14998,20,1,True,0.95,,1,True,0.4685408299866131
lstm_class,14998,20,1,False,0.95,,10,True,0.5060240963855421
lstm_class,14998,20,1,True,0.95,,10,True,0.4738955823293173
lstm_class,14998,20,1,True,0.95,,1,True,0.5020080321285141
lstm_class,14998,20,1,False,0.95,15min,5,True,0.4939759036144578
lstm_class,14998,20,1,False,0.95,15min,10,True,0.5220883534136547
lstm_class,14998,20,1,False,0.95,15min,15,True,0.4966532797858099
lstm_class,14998,20,1,False,0.95,15min,10,False,0.5060080106809078
lstm_class,14998,20,1,False,0.95,15min,15,True,0.4886211512717537
lstm_class,14998,20,1,False,0.95,15min,5,True,0.5020080321285141
lstm_class,14998,20,1,True,0.95,,10,True,0.46720214190093706
lstm_class,14998,20,1,False,0.95,15min,10,True,0.4979919678714859
lstm_class,14998,20,1,True,0.95,,10,True,0.48460508701472554
lstm_class,14998,20,1,False,0.95,15min,10,True,0.499330655957162
lstm_class,14998,20,1,False,0.95,15min,1,True,0.4926372155287818
lstm_class,14998,20,1,True,0.95,,15,False,0.49265687583444595
lstm_class,14998,20,1,False,0.95,15min,10,True,0.5033467202141901
lstm_class,14998,20,1,True,0.95,,10,True,0.48326639892904955
lstm_class,14998,20,1,False,0.95,,15,False,0.4819759679572764
lstm_class,14998,20,1,False,0.95,15min,15,True,0.4939759036144578
lstm_class,14998,20,1,True,0.95,,15,True,0.4939759036144578
lstm_class,14998,20,1,True,0.95,,15,True,0.48326639892904955
lstm_class,14998,20,1,True,0.95,,15,True,0.4524765729585007
lstm_class,14998,20,1,True,0.95,,3,True,0.5020080321285141
lstm_class,14998,20,1,True,0.95,,15,True,0.5087014725568942
lstm_class,14998,20,1,True,0.95,15min,10,False,0.5006675567423231
lstm_class,14998,20,1,False,0.95,15min,3,True,0.5046854082998661
lstm_class,14998,20,1,True,0.95,,5,True,0.47523427041499333
lstm_class,14998,20,1,False,0.95,15min,1,False,0.5046728971962616
lstm_class,14998,20,1,True,0.95,,15,True,0.499330655957162
lstm_class,14998,20,1,True,0.95,15min,3,False,0.4953271028037383
lstm_class,14998,20,1,True,0.95,15min,3,False,0.520694259012016
lstm_class,14998,20,1,True,0.95,15min,3,False,0.48598130841121495
lstm_class,14998,20,1,True,0.95,15min,3,False,0.4939919893190921
lstm_class,14998,20,1,True,0.95,15min,3,False,0.5046728971962616
lstm_class,14998,20,1,True,0.95,15min,10,False,0.4939919893190921
lstm_class,14998,20,1,False,0.95,15min,15,True,0.48460508701472554
lstm_class,14998,20,1,False,0.95,,5,True,0.4939759036144578
lstm_class,14998,20,1,True,0.95,15min,1,True,0.46987951807228917
