model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_fcn_class,14998,20,1,False,0.95,,15,True,0.4886211512717537
lstm_fcn_class,14998,20,1,False,0.95,,3,False,0.5006675567423231
lstm_fcn_class,14998,20,1,True,0.95,,5,True,0.5020080321285141
lstm_fcn_class,14998,20,1,False,0.95,,5,True,0.4886211512717537
lstm_fcn_class,14998,20,1,False,0.95,15min,5,False,0.4779706275033378
lstm_fcn_class,14998,20,1,False,0.95,,5,False,0.5166889185580774
lstm_fcn_class,14998,20,1,True,0.95,,15,True,0.48728246318607765
lstm_fcn_class,14998,20,1,False,0.95,15min,15,False,0.48731642189586116
lstm_fcn_class,14998,20,1,True,0.95,,15,False,0.4953271028037383
lstm_fcn_class,14998,20,1,False,0.95,15min,15,True,0.5153949129852744
lstm_fcn_class,14998,20,1,True,0.95,,10,False,0.48598130841121495
lstm_fcn_class,14998,20,1,False,0.95,15min,1,True,0.4564926372155288
lstm_fcn_class,14998,20,1,False,0.95,15min,3,True,0.4578313253012048
lstm_fcn_class,14998,20,1,False,0.95,15min,1,False,0.46461949265687585
lstm_fcn_class,14998,20,1,False,0.95,15min,10,False,0.465954606141522
lstm_fcn_class,14998,20,1,False,0.95,15min,5,True,0.49531459170013387
lstm_fcn_class,14998,20,1,False,0.95,,15,True,0.4926372155287818
lstm_fcn_class,14998,20,1,False,0.95,15min,5,False,0.4886515353805073
lstm_fcn_class,14998,20,1,True,0.95,,10,True,0.49531459170013387
lstm_fcn_class,14998,20,1,False,0.95,15min,1,False,0.465954606141522
lstm_fcn_class,14998,20,1,False,0.95,15min,3,True,0.464524765729585
lstm_fcn_class,14998,20,1,True,0.95,,5,True,0.48460508701472554
lstm_fcn_class,14998,20,1,True,0.95,,5,True,0.4979919678714859
lstm_fcn_class,14998,20,1,True,0.95,,5,True,0.5073627844712182
lstm_fcn_class,14998,20,1,True,0.95,,5,True,0.464524765729585
lstm_fcn_class,14998,20,1,True,0.95,,15,True,0.46586345381526106
lstm_fcn_class,14998,20,1,True,0.95,,5,False,0.5046728971962616
lstm_fcn_class,14998,20,1,False,0.95,,5,True,0.4779116465863454
lstm_fcn_class,14998,20,1,True,0.95,15min,15,False,0.5006675567423231
lstm_fcn_class,14998,20,1,False,0.95,,15,True,0.48460508701472554
lstm_fcn_class,14998,20,1,False,0.95,,1,True,0.46987951807228917
lstm_fcn_class,14998,20,1,True,0.95,,5,False,0.48598130841121495
lstm_fcn_class,14998,20,1,True,0.95,,5,False,0.4779706275033378
lstm_fcn_class,14998,20,1,True,0.95,,5,False,0.4979973297730307
lstm_fcn_class,14998,20,1,True,0.95,,3,False,0.49132176234979974
lstm_fcn_class,14998,20,1,True,0.95,,5,False,0.5060080106809078
lstm_fcn_class,14998,20,1,True,0.95,,5,False,0.4993324432576769
lstm_fcn_class,14998,20,1,False,0.95,,5,True,0.4979919678714859
lstm_fcn_class,14998,20,1,True,0.95,,15,False,0.46461949265687585
lstm_fcn_class,14998,20,1,False,0.95,15min,10,False,0.5086782376502003
lstm_fcn_class,14998,20,1,False,0.95,15min,10,True,0.4899598393574297
lstm_fcn_class,14998,20,1,False,0.95,15min,10,False,0.4993324432576769
lstm_fcn_class,14998,20,1,False,0.95,15min,10,False,0.507343124165554
lstm_fcn_class,14998,20,1,False,0.95,15min,10,False,0.507343124165554
lstm_fcn_class,14998,20,1,False,0.95,15min,10,False,0.49265687583444595
lstm_fcn_class,14998,20,1,False,0.95,15min,10,False,0.45794392523364486
lstm_fcn_class,14998,20,1,False,0.95,15min,10,False,0.4953271028037383
lstm_fcn_class,14998,20,1,False,0.95,15min,10,False,0.48464619492656874
lstm_fcn_class,14998,20,1,False,0.95,15min,3,True,0.45917001338688085
lstm_fcn_class,14998,20,1,False,0.95,15min,15,False,0.4993324432576769
