model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_fcn_class,199961,20,5,True,0.95,1min,10,False,0.64
lstm_fcn_class,199961,20,15,False,0.95,,5,True,0.52
lstm_fcn_class,199961,20,1,True,0.95,,10,True,0.53
lstm_fcn_class,199961,20,5,False,0.95,,15,False,0.47
lstm_fcn_class,199961,20,15,False,0.95,1min,3,False,0.47
lstm_fcn_class,199961,20,5,True,0.95,1min,3,False,0.55
lstm_fcn_class,199961,20,5,True,0.95,1min,10,False,0.53
lstm_fcn_class,199961,20,15,True,0.95,1min,5,True,0.64
lstm_fcn_class,199961,20,15,True,0.95,1min,10,False,0.51
lstm_fcn_class,199961,20,15,False,0.95,1min,15,False,0.48
lstm_fcn_class,199961,20,1,True,0.95,,1,True,0.51
lstm_fcn_class,199961,20,5,True,0.95,1min,5,True,0.45
lstm_fcn_class,199961,20,15,True,0.95,1min,5,True,0.54
lstm_fcn_class,199961,20,5,True,0.95,1min,1,True,0.66
lstm_fcn_class,199961,20,5,True,0.95,1min,1,True,0.44
lstm_fcn_class,199961,20,5,True,0.95,1min,1,False,0.54
lstm_fcn_class,199961,20,5,True,0.95,1min,1,False,0.57
lstm_fcn_class,199961,20,1,True,0.95,1min,10,True,0.53
lstm_fcn_class,199961,20,5,False,0.95,,10,False,0.4
lstm_fcn_class,199961,20,5,True,0.95,1min,1,True,0.59
lstm_fcn_class,199961,20,5,True,0.95,1min,15,False,0.55
lstm_fcn_class,199961,20,15,True,0.95,1min,5,True,0.43
lstm_fcn_class,199961,20,15,True,0.95,1min,5,True,0.65
lstm_fcn_class,199961,20,1,True,0.95,1min,3,True,0.47
lstm_fcn_class,199961,20,5,True,0.95,1min,1,True,0.48
lstm_fcn_class,199961,20,15,True,0.95,1min,5,True,0.44
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.67
lstm_fcn_class,199961,20,15,False,0.95,,1,True,0.59
lstm_fcn_class,199961,20,1,False,0.95,,5,True,0.5
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.43
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.48
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.53
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.56
lstm_fcn_class,199961,20,5,True,0.95,,10,True,0.64
lstm_fcn_class,199961,20,5,False,0.95,1min,15,False,0.49
lstm_fcn_class,199961,20,15,True,0.95,1min,3,True,0.4
lstm_fcn_class,199961,20,5,True,0.95,,10,False,0.6
lstm_fcn_class,199961,20,1,False,0.95,1min,5,True,0.48
lstm_fcn_class,199961,20,15,True,0.95,1min,3,False,0.52
lstm_fcn_class,199961,20,5,True,0.95,1min,10,False,0.44
lstm_fcn_class,199961,20,15,False,0.95,,15,True,0.64
lstm_fcn_class,199961,20,15,True,0.95,1min,5,True,0.59
lstm_fcn_class,199961,20,15,True,0.95,1min,5,True,0.46
lstm_fcn_class,199961,20,15,True,0.95,1min,5,True,0.49
lstm_fcn_class,199961,20,15,True,0.95,1min,5,True,0.48
lstm_fcn_class,199961,20,15,True,0.95,1min,5,True,0.64
lstm_fcn_class,199961,20,5,True,0.95,1min,1,False,0.58
lstm_fcn_class,199961,20,5,True,0.95,1min,10,True,0.53
lstm_fcn_class,199961,20,15,True,0.95,1min,1,False,0.41
lstm_fcn_class,199961,20,1,True,0.95,1min,5,True,0.5
