model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_reg,199961,20,1,False,0.95,,None,False,0.48
lstm_reg,199961,20,15,False,0.95,,None,True,0.51
lstm_reg,199961,20,5,False,0.95,1min,None,False,0.44
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.53
lstm_reg,199961,20,5,False,0.95,,None,False,0.48
lstm_reg,199961,20,5,True,0.95,,None,False,0.48
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.45
lstm_reg,199961,20,15,False,0.95,,None,True,0.51
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.52
lstm_reg,199961,20,1,False,0.95,,None,False,0.49
lstm_reg,199961,20,1,True,0.95,1min,None,True,0.45
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.5
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.46
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.5
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.51
lstm_reg,199961,20,15,True,0.95,1min,None,True,0.46
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.49
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.48
lstm_reg,199961,20,15,True,0.95,1min,None,True,0.49
lstm_reg,199961,20,5,True,0.95,1min,None,False,0.49
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.52
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.48
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.49
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.5
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.5
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.5
lstm_reg,199961,20,1,True,0.95,1min,None,True,0.49
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.51
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.51
lstm_reg,199961,20,5,False,0.95,,None,False,0.49
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.46
lstm_reg,199961,20,15,False,0.95,,None,True,0.49
lstm_reg,199961,20,15,False,0.95,,None,True,0.53
lstm_reg,199961,20,15,False,0.95,,None,True,0.47
lstm_reg,199961,20,15,False,0.95,,None,True,0.47
lstm_reg,199961,20,15,False,0.95,,None,True,0.52
lstm_reg,199961,20,5,False,0.95,,None,True,0.48
lstm_reg,199961,20,15,False,0.95,,None,False,0.51
lstm_reg,199961,20,5,False,0.95,,None,True,0.46
lstm_reg,199961,20,1,False,0.95,1min,None,False,0.45
lstm_reg,199961,20,1,True,0.95,,None,True,0.46
lstm_reg,199961,20,15,False,0.95,,None,True,0.47
lstm_reg,199961,20,15,False,0.95,,None,True,0.46
lstm_reg,199961,20,15,False,0.95,,None,True,0.46
lstm_reg,199961,20,15,False,0.95,,None,True,0.52
lstm_reg,199961,20,15,False,0.95,,None,True,0.54
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.48
lstm_reg,199961,20,15,False,0.95,,None,False,0.52
lstm_reg,199961,20,1,True,0.95,1min,None,True,0.51
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.52
