model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_reg,199961,20,15,False,0.95,1min,None,False,0.5094037615046019
lstm_reg,199961,20,5,True,0.95,,None,False,0.5049514854456337
lstm_reg,199961,20,1,True,0.95,,None,True,0.49894947473736867
lstm_reg,199961,20,15,True,0.95,,None,True,0.49864932466233114
lstm_reg,199961,20,15,False,0.95,1min,None,True,0.5078539269634817
lstm_reg,199961,20,1,True,0.95,,None,False,0.4913474042212664
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.5079539769884942
lstm_reg,199961,20,5,False,0.95,1min,None,True,0.49984992496248126
lstm_reg,199961,20,15,True,0.95,,None,True,0.5091545772886443
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5079031612645059
lstm_reg,199961,20,15,False,0.95,1min,None,False,0.49869947979191676
lstm_reg,199961,20,15,False,0.95,,None,False,0.5033013205282113
lstm_reg,199961,20,15,True,0.95,,None,False,0.4992997198879552
lstm_reg,199961,20,15,False,0.95,1min,None,True,0.49874937468734365
lstm_reg,199961,20,15,False,0.95,1min,None,False,0.5008003201280512
lstm_reg,199961,20,5,True,0.95,,None,True,0.4992496248124062
lstm_reg,199961,20,15,True,0.95,,None,True,0.5068534267133566
lstm_reg,199961,20,15,False,0.95,1min,None,False,0.5003001200480192
lstm_reg,199961,20,5,True,0.95,,None,False,0.5021506451935581
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.49894947473736867
lstm_reg,199961,20,15,True,0.95,,None,False,0.49409763905562226
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.5016508254127063
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.5014507253626813
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.4829414707353677
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.503751875937969
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.496048024012006
lstm_reg,199961,20,15,False,0.95,1min,None,True,0.49304652326163084
lstm_reg,199961,20,1,False,0.95,1min,None,True,0.4955477738869435
lstm_reg,199961,20,5,True,0.95,,None,False,0.4977493247974392
lstm_reg,199961,20,15,True,0.95,,None,False,0.5049019607843137
lstm_reg,199961,20,5,False,0.95,1min,None,True,0.4943471735867934
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5018007202881153
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5022008803521408
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5113045218087235
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5090036014405762
lstm_reg,199961,20,15,True,0.95,,None,False,0.5047018807523009
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5002000800320128
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5017006802721088
lstm_reg,199961,20,15,True,0.95,,None,False,0.5027010804321729
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5001000400160064
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.4955982392957183
lstm_reg,199961,20,15,True,0.95,1min,None,True,0.5023511755877939
lstm_reg,199961,20,1,True,0.95,1min,None,False,0.494148244473342
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5110044017607043
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.498499399759904
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5069027611044418
lstm_reg,199961,20,15,True,0.95,,None,False,0.49379751900760305
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5073029211684674
lstm_reg,199961,20,15,True,0.95,,None,False,0.4992997198879552
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5035014005602241
