model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
mini_rocket_class,39993,20,3,False,0.95,5min,3,False,0.52
mini_rocket_class,39993,20,1,True,0.95,,10,False,0.48
mini_rocket_class,39993,20,1,False,0.95,5min,3,False,0.43
mini_rocket_class,39993,20,3,False,0.95,5min,1,True,0.51
mini_rocket_class,39993,20,3,False,0.95,,5,False,0.52
mini_rocket_class,39993,20,1,True,0.95,,10,True,0.56
mini_rocket_class,39993,20,3,True,0.95,5min,3,True,0.49
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.58
mini_rocket_class,39993,20,1,True,0.95,,3,False,0.4
mini_rocket_class,39993,20,1,False,0.95,5min,10,True,0.54
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.64
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.52
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.52
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.51
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.57
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.59
mini_rocket_class,39993,20,3,True,0.95,5min,5,False,0.48
mini_rocket_class,39993,20,3,True,0.95,5min,1,False,0.53
mini_rocket_class,39993,20,3,True,0.95,,15,True,0.5
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.55
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.58
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.57
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.58
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.46
mini_rocket_class,39993,20,3,True,0.95,5min,5,False,0.45
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.54
mini_rocket_class,39993,20,1,False,0.95,,1,True,0.53
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.52
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.47
mini_rocket_class,39993,20,3,False,0.95,5min,15,False,0.57
mini_rocket_class,39993,20,3,True,0.95,5min,5,False,0.51
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.36
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.5
mini_rocket_class,39993,20,3,True,0.95,5min,10,False,0.52
mini_rocket_class,39993,20,1,True,0.95,5min,3,False,0.43
mini_rocket_class,39993,20,3,False,0.95,,15,False,0.66
mini_rocket_class,39993,20,3,False,0.95,,1,False,0.55
mini_rocket_class,39993,20,1,False,0.95,,15,True,0.57
mini_rocket_class,39993,20,3,False,0.95,,10,False,0.52
mini_rocket_class,39993,20,1,False,0.95,,3,True,0.45
mini_rocket_class,39993,20,3,False,0.95,,15,False,0.52
mini_rocket_class,39993,20,3,False,0.95,,15,False,0.55
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.48
mini_rocket_class,39993,20,3,True,0.95,5min,15,False,0.5
mini_rocket_class,39993,20,3,False,0.95,,15,False,0.62
mini_rocket_class,39993,20,3,False,0.95,,10,False,0.52
mini_rocket_class,39993,20,3,False,0.95,,15,False,0.52
mini_rocket_class,39993,20,3,False,0.95,,3,True,0.59
mini_rocket_class,39993,20,1,False,0.95,,3,True,0.47
mini_rocket_class,39993,20,3,False,0.95,,3,True,0.58
