model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
mini_rocket_reg,39993,20,3,False,0.95,5min,None,True,0.5012518778167251
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.48774387193596797
mini_rocket_reg,39993,20,1,False,0.95,,None,True,0.49424136204306457
mini_rocket_reg,39993,20,3,True,0.95,,None,True,0.5037556334501753
mini_rocket_reg,39993,20,3,True,0.95,5min,None,True,0.5012518778167251
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.5062531265632816
mini_rocket_reg,39993,20,1,True,0.95,5min,None,False,0.4957478739369685
mini_rocket_reg,39993,20,3,True,0.95,5min,None,False,0.5097548774387194
mini_rocket_reg,39993,20,3,False,0.95,5min,None,True,0.4957436154231347
mini_rocket_reg,39993,20,3,True,0.95,5min,None,False,0.4992496248124062
mini_rocket_reg,39993,20,1,False,0.95,5min,None,False,0.5057528764382191
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.4867433716858429
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.4932466233116558
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.5177588794397199
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.5062531265632816
mini_rocket_reg,39993,20,1,True,0.95,5min,None,False,0.5077538769384692
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.5032516258129065
mini_rocket_reg,39993,20,3,True,0.95,5min,None,False,0.49524762381190596
mini_rocket_reg,39993,20,1,False,0.95,,None,False,0.4912456228114057
mini_rocket_reg,39993,20,3,True,0.95,5min,None,False,0.5032516258129065
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.5012506253126563
mini_rocket_reg,39993,20,1,True,0.95,5min,None,False,0.4827413706853427
mini_rocket_reg,39993,20,1,True,0.95,5min,None,False,0.4912456228114057
mini_rocket_reg,39993,20,1,True,0.95,5min,None,False,0.49074537268634316
mini_rocket_reg,39993,20,1,True,0.95,5min,None,False,0.49824912456228115
mini_rocket_reg,39993,20,1,True,0.95,5min,None,False,0.48924462231115556
mini_rocket_reg,39993,20,1,False,0.95,5min,None,True,0.4897346019028543
mini_rocket_reg,39993,20,3,True,0.95,5min,None,False,0.5062531265632816
mini_rocket_reg,39993,20,1,True,0.95,,None,False,0.48774387193596797
mini_rocket_reg,39993,20,3,False,0.95,5min,None,True,0.49323985978968454
mini_rocket_reg,39993,20,3,True,0.95,5min,None,False,0.4917458729364682
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.4912456228114057
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.5007503751875938
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.4932466233116558
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.5032516258129065
mini_rocket_reg,39993,20,3,True,0.95,,None,True,0.5037556334501753
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.5087543771885943
mini_rocket_reg,39993,20,3,False,0.95,,None,True,0.4987481221832749
mini_rocket_reg,39993,20,1,True,0.95,,None,False,0.5087543771885943
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.5062531265632816
mini_rocket_reg,39993,20,3,True,0.95,,None,True,0.5007511266900351
mini_rocket_reg,39993,20,1,True,0.95,,None,False,0.48924462231115556
mini_rocket_reg,39993,20,1,True,0.95,,None,False,0.5052526263131566
mini_rocket_reg,39993,20,1,True,0.95,,None,False,0.4882441220610305
mini_rocket_reg,39993,20,1,True,0.95,5min,None,False,0.5162581290645323
mini_rocket_reg,39993,20,1,True,0.95,,None,False,0.5022511255627814
mini_rocket_reg,39993,20,1,False,0.95,5min,None,False,0.48924462231115556
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.496248124062031
mini_rocket_reg,39993,20,1,True,0.95,5min,None,False,0.503751875937969
mini_rocket_reg,39993,20,3,True,0.95,,None,False,0.49974987493746875
