dataset,data_size,model,seq_length,buckets,dif_all,TI,index,bin_accuracy
twelve,49946,mini_rocket,30,7,False,True,1min,0.4984984984984985
twelve,49969,mini_rocket,30,1,True,False,,0.5037022213327996
twelve,49969,mini_rocket,30,1,False,False,1min,0.5133079847908745
twelve,49946,mini_rocket,30,7,False,True,1min,0.5085085085085085
twelve,49969,mini_rocket,30,4,False,False,1min,0.5195117070242146
twelve,49969,mini_rocket,30,15,False,False,1min,0.4978987392435461
twelve,49969,mini_rocket,30,10,False,False,1min,0.5017010206123674
twelve,49969,mini_rocket,30,13,False,False,1min,0.5035021012607565
twelve,4946,LSTM,30,12,True,True,1min,0.498989898989899
twelve,4969,LSTM,30,8,False,False,,0.4929577464788732
twelve,4946,LSTM,30,11,True,True,1min,0.494949494949495
twelve,4946,LSTM,30,12,False,True,,0.4545454545454545
twelve,199907,LSTM,30,8,False,True,1min,0.5099294682607173
twelve,199930,LSTM,30,11,True,False,,0.5049767418596509
twelve,14944,lstm_fcn,30,12,True,True,,0.5043478260869565
twelve,14967,lstm_fcn,30,9,True,False,,0.4889779559118236
twelve,14944,lstm_fcn,30,15,True,True,,0.4876254180602006
twelve,14944,lstm_fcn,30,5,False,True,,0.4903010033444816
twelve,14944,lstm_fcn,30,3,True,True,,0.4936454849498328
twelve,14944,lstm_fcn,30,4,True,True,,0.474247491638796
twelve,14944,lstm_fcn,30,14,True,True,,0.4976588628762541
twelve,14944,lstm_fcn,30,12,False,True,15min,0.5076923076923077
twelve,14967,lstm_fcn,30,10,False,False,,0.5103540414161657
twelve,14967,lstm_fcn,30,11,False,False,15min,0.4929859719438877
twelve,14967,lstm_fcn,30,7,False,False,15min,0.5150300601202404
twelve,14967,lstm_fcn,30,7,False,False,15min,0.5130260521042084
twelve,14967,lstm_fcn,30,6,False,False,15min,0.4963259853039412
twelve,14967,lstm_fcn,30,7,False,False,15min,0.4963259853039412
twelve,14967,lstm_fcn,30,2,False,False,15min,0.4989979959919839
twelve,14967,lstm_fcn,30,8,False,False,15min,0.5070140280561122
twelve,14967,lstm_fcn,30,7,False,False,15min,0.5076820307281229
twelve,14967,lstm_fcn,30,5,False,False,15min,0.5190380761523046
twelve,14967,lstm_fcn,30,4,False,False,15min,0.5016700066800267
twelve,14967,lstm_fcn,30,1,False,False,15min,0.501002004008016
twelve,14944,TST,30,2,True,True,15min,0.5210702341137123
twelve,14944,TST,30,12,False,True,,0.5070234113712374
twelve,14967,TST,30,13,False,False,,0.4936539746158984
twelve,14944,TST,30,12,False,True,15min,0.4882943143812709
twelve,14967,TST,30,2,False,False,15min,0.5016700066800267
twelve,14967,TST,30,8,False,False,,0.4843019372077488
twelve,14944,TST,30,9,True,True,,0.5070234113712374
twelve,14944,TST,30,3,False,True,,0.494314381270903
twelve,14944,TST,30,2,False,True,,0.5083612040133779
twelve,14944,TST,30,13,False,True,,0.5076923076923077
twelve,14944,TST,30,5,True,True,15min,0.5130434782608696
twelve,14944,TST,30,5,True,True,15min,0.5150501672240803
twelve,14944,TST,30,5,True,True,15min,0.5003344481605351
twelve,14944,TST,30,5,True,True,15min,0.5103678929765886
twelve,14944,TST,30,8,True,True,15min,0.5163879598662208
twelve,14967,TST,30,9,True,False,15min,0.490313961255845
twelve,14944,TST,30,7,True,True,15min,0.5204013377926422
twelve,14944,TST,30,1,True,True,15min,0.525752508361204
twelve,14967,TST,30,1,True,False,15min,0.5023380093520374
twelve,14944,TST,30,3,True,True,15min,0.4989966555183946
twelve,14944,TST,30,1,True,True,15min,0.5103678929765886
twelve,39939,TST,30,6,True,True,5min,0.5065097646469705
twelve,39962,TST,30,15,True,False,5min,0.501376032024018
twelve,39962,TST,30,5,False,False,5min,0.4991243432574431
twelve,39962,TST,30,11,True,False,5min,0.5061295971978984
twelve,4969,mini_rocket,30,11,True,False,,0.5030181086519114
twelve,4946,mini_rocket,30,3,False,True,,0.4969696969696969
twelve,4969,mini_rocket,30,14,True,False,,0.5010060362173038
twelve,4946,mini_rocket,30,12,False,True,,0.5050505050505051
twelve,4969,mini_rocket,30,13,True,False,1h,0.4989939637826961
twelve,4946,mini_rocket,30,15,False,True,,0.4525252525252525
twelve,4946,mini_rocket,30,2,False,True,,0.498989898989899
twelve,4946,mini_rocket,30,2,True,True,1h,0.4848484848484848
twelve,4946,mini_rocket,30,7,True,True,,0.4888888888888889
twelve,4946,mini_rocket,30,6,False,True,,0.5434343434343434
twelve,4946,mini_rocket,30,6,False,True,1h,0.4767676767676768
twelve,4946,mini_rocket,30,10,False,True,,0.5131313131313131
twelve,4946,mini_rocket,30,9,False,True,,0.494949494949495
twelve,4946,mini_rocket,30,5,False,True,,0.5070707070707071
twelve,4946,mini_rocket,30,9,False,True,,0.4565656565656565
twelve,4969,mini_rocket,30,10,False,False,1h,0.5010060362173038
twelve,4946,mini_rocket,30,4,False,True,,0.5373737373737374
twelve,4946,mini_rocket,30,4,False,True,,0.498989898989899
twelve,4969,mini_rocket,30,1,False,False,1h,0.4989939637826961
twelve,4946,mini_rocket,30,7,False,True,,0.5272727272727272
twelve,4946,mini_rocket,30,5,False,True,,0.4909090909090909
twelve,4946,mini_rocket,30,7,False,True,,0.4888888888888889
twelve,4946,mini_rocket,30,7,False,True,,0.503030303030303
twelve,4946,mini_rocket,30,4,False,True,,0.4868686868686869
twelve,4946,mini_rocket,30,6,False,True,,0.4868686868686869
twelve,4946,mini_rocket,30,8,False,True,,0.5252525252525253
