dataset,data_size,model,seq_length,buckets,dif_all,TI,index,bin_accuracy
twelve,45341,mini_rocket,30,6,False,True,1min,0.5333333333333333
twelve,45362,mini_rocket,30,13,False,False,1min,0.4769230769230769
twelve,45362,mini_rocket,30,11,False,False,,0.4948717948717949
twelve,45341,mini_rocket,30,4,True,True,,0.5102564102564102
twelve,45362,mini_rocket,30,2,False,False,,0.5076923076923077
twelve,45362,mini_rocket,30,13,False,False,1min,0.5102564102564102
twelve,45341,mini_rocket,30,4,False,True,1min,0.482051282051282
twelve,45341,mini_rocket,30,9,False,True,,0.5051282051282051
twelve,45362,mini_rocket,30,11,False,False,,0.5153846153846153
twelve,45362,mini_rocket,30,11,True,False,1min,0.4846153846153846
twelve,45341,mini_rocket,30,6,True,True,1min,0.4794871794871795
twelve,45341,mini_rocket,30,8,False,True,,0.5102564102564102
twelve,45362,mini_rocket,30,15,False,False,,0.5102564102564102
twelve,45341,mini_rocket,30,7,False,True,1min,0.5435897435897435
twelve,45341,mini_rocket,30,7,True,True,1min,0.4923076923076923
twelve,45341,mini_rocket,30,5,False,True,1min,0.5435897435897435
twelve,45341,mini_rocket,30,1,False,True,1min,0.5512820512820513
twelve,45341,mini_rocket,30,1,False,True,1min,0.4666666666666667
twelve,45341,mini_rocket,30,2,True,True,1min,0.4974358974358974
twelve,45341,mini_rocket,30,1,False,True,1min,0.5282051282051282
twelve,45341,mini_rocket,30,9,False,True,1min,0.5230769230769231
twelve,45341,mini_rocket,30,4,False,True,1min,0.5282051282051282
twelve,45341,mini_rocket,30,5,False,True,1min,0.4717948717948718
twelve,45341,mini_rocket,30,3,False,True,1min,0.482051282051282
twelve,45341,mini_rocket,30,7,False,True,1min,0.5333333333333333
twelve,45341,lstm,30,3,False,True,,0.5
twelve,45362,lstm,30,13,False,False,,0.5256410256410257
twelve,45362,lstm,30,5,True,False,1min,0.5333333333333333
twelve,45362,lstm,30,11,False,False,1min,0.5205128205128206
twelve,45332,lstm,30,11,True,True,,0.5153846153846153
twelve,45362,lstm,30,11,True,False,1min,0.5256410256410257
twelve,45332,lstm,30,6,False,True,,0.4897435897435897
twelve,45362,lstm,30,15,False,False,,0.4692307692307692
twelve,45332,lstm,30,5,True,True,1min,0.5153846153846153
twelve,45362,lstm,30,5,True,False,1min,0.482051282051282
twelve,45332,lstm,30,3,True,True,,0.482051282051282
twelve,45332,lstm,30,2,True,True,1min,0.4846153846153846
twelve,45362,lstm,30,8,True,False,,0.5051282051282051
twelve,45362,lstm,30,15,True,False,1min,0.5102564102564102
twelve,45362,lstm,30,11,False,False,1min,0.5102564102564102
twelve,45362,lstm,30,11,False,False,1min,0.5
twelve,45362,lstm,30,13,False,False,1min,0.5230769230769231
twelve,45362,lstm,30,13,False,False,1min,0.5051282051282051
twelve,45362,lstm,30,9,False,False,1min,0.4846153846153846
twelve,45362,lstm,30,13,False,False,1min,0.5384615384615384
twelve,45362,lstm,30,13,True,False,1min,0.4666666666666667
twelve,45362,lstm,30,9,True,False,1min,0.5256410256410257
twelve,45362,lstm,30,8,False,False,1min,0.4948717948717949
twelve,45362,lstm,30,14,True,False,1min,0.5256410256410257
twelve,45362,lstm,30,10,True,False,1min,0.4743589743589743
twelve,45362,lstm_fcn,30,8,True,False,,0.4974358974358974
twelve,45332,lstm_fcn,30,15,True,True,1min,0.5153846153846153
twelve,45332,lstm_fcn,30,3,False,True,,0.5205128205128206
twelve,45332,lstm_fcn,30,7,False,True,1min,0.5230769230769231
twelve,45362,lstm_fcn,30,5,False,False,1min,0.4897435897435897
twelve,45362,lstm_fcn,30,8,False,False,,0.4897435897435897
twelve,45332,lstm_fcn,30,6,False,True,1min,0.5205128205128206
twelve,45332,lstm_fcn,30,5,False,True,1min,0.4846153846153846
twelve,45362,lstm_fcn,30,3,False,False,,0.5256410256410257
twelve,45362,lstm_fcn,30,14,False,False,1min,0.4948717948717949
twelve,45362,lstm_fcn,30,1,True,False,,0.5153846153846153
