dataset,data_size,model,seq_length,buckets,dif_all,TI,index,bin_accuracy
twelve,199950,lstm,10,10,False,False,,0.5004251062765691
twelve,199950,lstm,10,4,False,False,1min,0.5075768942235559
twelve,199950,lstm,10,5,True,False,1min,0.5115778944736185
twelve,199927,lstm,10,10,False,True,1min,0.5024758665532937
twelve,199927,lstm,10,6,False,True,,0.5094282999049667
twelve,199950,lstm,10,12,True,False,1min,0.5093273318329582
twelve,199927,lstm,10,4,False,True,1min,0.5089281248436953
twelve,199927,lstm,10,15,False,True,1min,0.5042764967738709
twelve,199927,lstm,10,9,False,True,1min,0.5120792277297054
twelve,199950,lstm,10,10,False,False,,0.502275568892223
twelve,199927,lstm,10,2,True,True,1min,0.5070774771169909
twelve,199950,lstm,10,7,True,False,1min,0.5094273568392098
twelve,199950,lstm,10,5,True,False,1min,0.509827456864216
twelve,199927,lstm,10,1,True,True,1min,0.5124293502725954
twelve,199927,lstm,10,1,True,True,1min,0.5059270744760667
twelve,199927,lstm,10,8,True,True,,0.5043765317861252
twelve,199927,lstm,10,13,False,True,1min,0.501925673985895
twelve,199927,lstm,10,9,True,True,1min,0.5057770219576851
twelve,199927,lstm,10,12,False,True,,0.5103286150152554
twelve,199927,lstm,10,2,True,True,1min,0.5113789826439253
twelve,199927,lstm,10,8,False,True,1min,0.5050767768719052
twelve,199950,lstm,10,3,True,False,1min,0.5101275318829708
twelve,39982,lstm,10,4,True,False,,0.5098774693673418
twelve,39982,lstm,10,1,False,False,5min,0.5128782195548888
twelve,39959,lstm,10,2,True,True,,0.506006006006006
twelve,39959,lstm,10,9,True,True,5min,0.5062562562562563
twelve,39982,lstm,10,4,False,False,5min,0.5046261565391348
twelve,39959,lstm,10,7,False,True,,0.5085085085085085
twelve,39959,lstm,10,4,True,True,,0.5055055055055055
twelve,39982,lstm,10,15,False,False,,0.5063765941485371
twelve,39959,lstm,10,14,True,True,5min,0.5047547547547547
twelve,39982,lstm,10,12,False,False,,0.5013753438359589
twelve,39982,lstm,10,1,False,False,5min,0.5161290322580645
