model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_class,199961,20,15,True,0.95,1min,10,True,0.5137568784392196
lstm_class,199961,20,15,True,0.95,,10,True,0.520360180090045
lstm_class,199961,20,1,False,0.95,1min,5,True,0.5056528264132066
lstm_class,199961,20,5,False,0.95,,3,True,0.5099549774887444
lstm_class,199961,20,15,True,0.95,,15,False,0.5183073229291717
lstm_class,199961,20,15,False,0.95,,15,False,0.5309123649459784
lstm_class,199961,20,5,True,0.95,,15,True,0.5129564782391196
lstm_class,199961,20,5,True,0.95,,5,False,0.4869460838251475
lstm_class,199961,20,5,True,0.95,1min,1,False,0.5060518155446634
lstm_class,199961,20,15,False,0.95,,3,False,0.5168067226890757
lstm_class,199961,20,1,False,0.95,1min,15,False,0.513554066219866
lstm_class,199961,20,15,False,0.95,,10,True,0.4893446723361681
lstm_class,199961,20,15,False,0.95,,10,False,0.4874949979991996
lstm_class,199961,20,15,True,0.95,,1,True,0.5166583291645823
lstm_class,199961,20,15,False,0.95,,10,False,0.5154061624649859
lstm_class,199961,20,15,True,0.95,,15,True,0.4963481740870435
lstm_class,199961,20,1,True,0.95,,15,True,0.5010505252626313
lstm_class,199961,20,15,False,0.95,,10,False,0.5071028411364545
lstm_class,199961,20,15,True,0.95,1min,3,False,0.5028011204481793
lstm_class,199961,20,1,False,0.95,,5,True,0.5104552276138069
lstm_class,199961,20,15,True,0.95,,1,False,0.5187074829931972
lstm_class,199961,20,15,True,0.95,,1,False,0.5001000400160064
lstm_class,199961,20,15,True,0.95,,1,False,0.4975990396158463
lstm_class,199961,20,15,True,0.95,,1,False,0.5187074829931972
lstm_class,199961,20,15,True,0.95,,15,False,0.5132052821128451
lstm_class,199961,20,15,True,0.95,,1,False,0.509703881552621
lstm_class,199961,20,15,False,0.95,1min,10,True,0.5016508254127063
lstm_class,199961,20,15,True,0.95,,10,False,0.506702681072429
lstm_class,199961,20,5,False,0.95,,1,True,0.5057528764382191
lstm_class,199961,20,1,True,0.95,1min,15,True,0.5091545772886443
lstm_class,199961,20,15,True,0.95,,10,False,0.5325130052020808
lstm_class,199961,20,15,True,0.95,,10,False,0.4976990796318527
lstm_class,199961,20,15,True,0.95,,10,False,0.5073029211684674
lstm_class,199961,20,15,True,0.95,,10,False,0.5200080032012805
lstm_class,199961,20,15,True,0.95,,10,False,0.5098039215686274
lstm_class,199961,20,15,True,0.95,,10,True,0.5164582291145573
lstm_class,199961,20,5,False,0.95,1min,5,False,0.5027508252475743
lstm_class,199961,20,1,True,0.95,,10,False,0.5084525357607282
lstm_class,199961,20,15,True,0.95,,3,True,0.4994497248624312
lstm_class,199961,20,5,False,0.95,,10,False,0.5008502550765229
lstm_class,199961,20,15,True,0.95,1min,15,False,0.49299719887955185
lstm_class,199961,20,15,True,0.95,,5,False,0.5411164465786314
lstm_class,199961,20,15,True,0.95,,5,False,0.5044017607042817
lstm_class,199961,20,15,True,0.95,,5,False,0.5083033213285314
lstm_class,199961,20,15,True,0.95,,5,False,0.5094037615046019
lstm_class,199961,20,15,False,0.95,,10,False,0.4992997198879552
lstm_class,199961,20,5,True,0.95,,5,True,0.5045522761380691
lstm_class,199961,20,15,True,0.95,,15,False,0.5123049219687875
lstm_class,199961,20,15,False,0.95,,3,False,0.4853941576630652
