model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_class,199961,20,15,True,0.95,1min,15,False,0.5162064825930373
lstm_class,199961,20,1,True,0.95,,1,True,0.5071535767883942
lstm_class,199961,20,15,False,0.95,1min,15,False,0.48559423769507803
lstm_class,199961,20,5,False,0.95,,5,True,0.5165582791395698
lstm_class,199961,20,1,True,0.95,,15,False,0.5041512453736121
lstm_class,199961,20,15,True,0.95,1min,15,False,0.5119047619047619
lstm_class,199961,20,15,True,0.95,,15,True,0.5210605302651325
lstm_class,199961,20,1,False,0.95,1min,15,False,0.4963489046714014
lstm_class,199961,20,1,False,0.95,1min,1,True,0.5069534767383692
lstm_class,199961,20,15,False,0.95,1min,15,False,0.4923969587835134
lstm_class,199961,20,5,True,0.95,,10,True,0.49384692346173087
lstm_class,199961,20,5,False,0.95,,5,True,0.5106553276638319
lstm_class,199961,20,5,False,0.95,,5,True,0.5125562781390696
lstm_class,199961,20,5,True,0.95,,5,True,0.5064532266133066
lstm_class,199961,20,5,False,0.95,,3,True,0.5144572286143072
lstm_class,199961,20,15,True,0.95,,3,True,0.5076538269134567
lstm_class,199961,20,5,True,0.95,,10,True,0.5016508254127063
lstm_class,199961,20,15,False,0.95,,5,True,0.5023511755877939
lstm_class,199961,20,15,False,0.95,,5,True,0.5208604302151075
lstm_class,199961,20,15,True,0.95,,10,True,0.5074537268634317
lstm_class,199961,20,15,True,0.95,,1,True,0.5196598299149575
lstm_class,199961,20,15,True,0.95,,1,True,0.5111555777888944
lstm_class,199961,20,15,True,0.95,,1,True,0.49804902451225613
lstm_class,199961,20,15,True,0.95,,1,True,0.5077538769384692
lstm_class,199961,20,15,True,0.95,,3,True,0.5070535267633817
lstm_class,199961,20,15,True,0.95,,5,True,0.5086543271635818
lstm_class,199961,20,15,False,0.95,,1,True,0.4976488244122061
lstm_class,199961,20,15,True,0.95,,15,True,0.5127563781890946
lstm_class,199961,20,15,False,0.95,,1,True,0.5005502751375688
lstm_class,199961,20,15,True,0.95,1min,5,False,0.5126050420168067
lstm_class,199961,20,15,True,0.95,,15,True,0.495447723861931
lstm_class,199961,20,5,False,0.95,,5,True,0.5164582291145573
lstm_class,199961,20,5,False,0.95,,5,True,0.503751875937969
lstm_class,199961,20,1,False,0.95,,5,True,0.512056028014007
lstm_class,199961,20,15,False,0.95,,5,True,0.4961480740370185
lstm_class,199961,20,1,False,0.95,,15,False,0.5032509752925878
lstm_class,199961,20,5,False,0.95,1min,1,True,0.5145572786393197
lstm_class,199961,20,15,True,0.95,,15,False,0.5191076430572229
lstm_class,199961,20,15,True,0.95,,15,False,0.4980992396958783
lstm_class,199961,20,15,True,0.95,1min,15,False,0.5111044417767107
lstm_class,199961,20,15,True,0.95,,15,False,0.5240096038415366
lstm_class,199961,20,15,True,0.95,,15,False,0.4996998799519808
lstm_class,199961,20,15,True,0.95,,15,False,0.4918967587034814
lstm_class,199961,20,15,True,0.95,,15,False,0.4844937975190076
lstm_class,199961,20,15,True,0.95,,15,False,0.5035014005602241
lstm_class,199961,20,1,True,0.95,1min,15,False,0.5016504951485445
lstm_class,199961,20,15,True,0.95,,10,False,0.5081032412965186
lstm_class,199961,20,15,True,0.95,,15,False,0.5071028411364545
lstm_class,199961,20,15,True,0.95,,3,False,0.5213085234093637
lstm_class,199961,20,15,True,0.95,1min,3,False,0.4876950780312125
