model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_fcn_reg,199961,20,15,False,0.95,,None,True,0.46
lstm_fcn_reg,199961,20,15,False,0.95,,None,True,0.57
lstm_fcn_reg,199961,20,1,True,0.95,,None,False,0.52
lstm_fcn_reg,199961,20,1,True,0.95,1min,None,True,0.53
lstm_fcn_reg,199961,20,5,True,0.95,1min,None,False,0.54
lstm_fcn_reg,199961,20,5,False,0.95,1min,None,True,0.47
lstm_fcn_reg,199961,20,1,True,0.95,,None,True,0.56
lstm_fcn_reg,199961,20,15,True,0.95,1min,None,False,0.51
lstm_fcn_reg,199961,20,1,True,0.95,1min,None,True,0.49
lstm_fcn_reg,199961,20,5,True,0.95,,None,False,0.56
lstm_fcn_reg,199961,20,15,False,0.95,,None,True,0.43
lstm_fcn_reg,199961,20,15,False,0.95,,None,True,0.49
lstm_fcn_reg,199961,20,1,False,0.95,,None,True,0.52
lstm_fcn_reg,199961,20,15,False,0.95,,None,True,0.55
lstm_fcn_reg,199961,20,1,False,0.95,,None,True,0.49
lstm_fcn_reg,199961,20,1,True,0.95,,None,True,0.51
lstm_fcn_reg,199961,20,15,True,0.95,,None,True,0.53
lstm_fcn_reg,199961,20,1,False,0.95,,None,True,0.57
lstm_fcn_reg,199961,20,15,False,0.95,,None,False,0.42
lstm_fcn_reg,199961,20,5,False,0.95,,None,True,0.51
lstm_fcn_reg,199961,20,15,False,0.95,,None,True,0.47
lstm_fcn_reg,199961,20,1,False,0.95,,None,True,0.48
lstm_fcn_reg,199961,20,1,False,0.95,,None,True,0.48
lstm_fcn_reg,199961,20,1,True,0.95,,None,True,0.47
lstm_fcn_reg,199961,20,1,False,0.95,,None,True,0.52
lstm_fcn_reg,199961,20,1,False,0.95,,None,True,0.52
lstm_fcn_reg,199961,20,1,True,0.95,1min,None,False,0.49
lstm_fcn_reg,199961,20,15,False,0.95,,None,True,0.53
lstm_fcn_reg,199961,20,1,True,0.95,,None,True,0.51
lstm_fcn_reg,199961,20,5,False,0.95,,None,True,0.57
lstm_fcn_reg,199961,20,5,False,0.95,,None,True,0.54
lstm_fcn_reg,199961,20,5,False,0.95,,None,True,0.55
lstm_fcn_reg,199961,20,5,False,0.95,,None,True,0.46
lstm_fcn_reg,199961,20,5,False,0.95,,None,True,0.48
lstm_fcn_reg,199961,20,5,False,0.95,,None,False,0.52
lstm_fcn_reg,199961,20,1,True,0.95,1min,None,True,0.39
lstm_fcn_reg,199961,20,15,False,0.95,,None,True,0.5
lstm_fcn_reg,199961,20,5,True,0.95,1min,None,False,0.52
lstm_fcn_reg,199961,20,1,True,0.95,,None,True,0.51
lstm_fcn_reg,199961,20,15,False,0.95,1min,None,True,0.54
lstm_fcn_reg,199961,20,5,True,0.95,,None,False,0.53
lstm_fcn_reg,199961,20,5,True,0.95,,None,False,0.55
lstm_fcn_reg,199961,20,5,True,0.95,,None,False,0.53
lstm_fcn_reg,199961,20,5,True,0.95,,None,False,0.56
lstm_fcn_reg,199961,20,5,True,0.95,,None,False,0.51
lstm_fcn_reg,199961,20,1,True,0.95,,None,False,0.51
lstm_fcn_reg,199961,20,15,False,0.95,,None,True,0.43
lstm_fcn_reg,199961,20,5,False,0.95,1min,None,True,0.53
lstm_fcn_reg,199961,20,15,True,0.95,,None,True,0.53
lstm_fcn_reg,199961,20,1,False,0.95,,None,False,0.51
