model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5127175368139224
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5100401606425703
lstm_fcn_reg,14998,20,1,True,0.95,,None,False,0.5086782376502003
lstm_fcn_reg,14998,20,1,True,0.95,,None,False,0.4979973297730307
lstm_fcn_reg,14998,20,1,False,0.95,,None,False,0.4445927903871829
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.49531459170013387
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.49129852744310576
lstm_fcn_reg,14998,20,1,False,0.95,,None,True,0.49531459170013387
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5247657295850067
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.5087014725568942
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,False,0.4819759679572764
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.49129852744310576
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5113788487282463
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5274431057563588
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4899598393574297
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5087014725568942
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5194109772423026
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5100401606425703
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,False,0.48598130841121495
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5194109772423026
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.4926372155287818
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5060240963855421
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.49129852744310576
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.499330655957162
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5113788487282463
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5153949129852744
lstm_fcn_reg,14998,20,1,False,0.95,,None,False,0.48598130841121495
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5046854082998661
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4685408299866131
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.4939759036144578
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5180722891566265
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.48460508701472554
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.535475234270415
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.49129852744310576
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.4926372155287818
lstm_fcn_reg,14998,20,1,False,0.95,,None,False,0.49666221628838453
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.49531459170013387
lstm_fcn_reg,14998,20,1,False,0.95,,None,False,0.507343124165554
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,True,0.5073627844712182
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5087014725568942
lstm_fcn_reg,14998,20,1,True,0.95,,None,True,0.5113788487282463
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.47657295850066933
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.48728246318607765
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5060240963855421
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.5087014725568942
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,True,0.48460508701472554
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,False,0.5246995994659546
lstm_fcn_reg,14998,20,1,False,0.95,15min,None,False,0.5126835781041389
lstm_fcn_reg,14998,20,1,False,0.95,,None,False,0.4953271028037383
lstm_fcn_reg,14998,20,1,True,0.95,15min,None,False,0.514018691588785
