model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_reg,14998,20,1,True,0.95,15min,None,False,0.5046728971962616
lstm_reg,14998,20,1,False,0.95,,None,False,0.5327102803738317
lstm_reg,14998,20,1,True,0.95,,None,True,0.49531459170013387
lstm_reg,14998,20,1,False,0.95,15min,None,True,0.5274431057563588
lstm_reg,14998,20,1,True,0.95,,None,True,0.48728246318607765
lstm_reg,14998,20,1,True,0.95,15min,None,False,0.5220293724966623
lstm_reg,14998,20,1,False,0.95,,None,True,0.5207496653279786
lstm_reg,14998,20,1,False,0.95,15min,None,False,0.5180240320427236
lstm_reg,14998,20,1,False,0.95,15min,None,False,0.4993324432576769
lstm_reg,14998,20,1,False,0.95,15min,None,False,0.5060080106809078
lstm_reg,14998,20,1,False,0.95,,None,False,0.5166889185580774
lstm_reg,14998,20,1,False,0.95,,None,True,0.5247657295850067
lstm_reg,14998,20,1,False,0.95,15min,None,True,0.5167336010709505
lstm_reg,14998,20,1,False,0.95,,None,True,0.5020080321285141
lstm_reg,14998,20,1,False,0.95,,None,True,0.5127175368139224
lstm_reg,14998,20,1,False,0.95,15min,None,False,0.5100133511348465
lstm_reg,14998,20,1,False,0.95,15min,None,True,0.5087014725568942
lstm_reg,14998,20,1,False,0.95,,None,False,0.5220293724966623
lstm_reg,14998,20,1,True,0.95,15min,None,True,0.48460508701472554
lstm_reg,14998,20,1,False,0.95,,None,False,0.5246995994659546
lstm_reg,14998,20,1,False,0.95,,None,True,0.5207496653279786
lstm_reg,14998,20,1,False,0.95,,None,True,0.5301204819277109
lstm_reg,14998,20,1,False,0.95,,None,True,0.5274431057563588
lstm_reg,14998,20,1,False,0.95,,None,True,0.500669344042838
lstm_reg,14998,20,1,False,0.95,,None,True,0.5140562248995983
lstm_reg,14998,20,1,False,0.95,,None,True,0.4939759036144578
lstm_reg,14998,20,1,True,0.95,15min,None,False,0.4979973297730307
lstm_reg,14998,20,1,False,0.95,,None,True,0.5153949129852744
lstm_reg,14998,20,1,False,0.95,15min,None,False,0.49666221628838453
lstm_reg,14998,20,1,True,0.95,15min,None,False,0.46328437917222964
lstm_reg,14998,20,1,False,0.95,,None,True,0.5113788487282463
lstm_reg,14998,20,1,False,0.95,,None,True,0.5020080321285141
lstm_reg,14998,20,1,False,0.95,,None,True,0.5020080321285141
lstm_reg,14998,20,1,False,0.95,,None,True,0.5087014725568942
lstm_reg,14998,20,1,True,0.95,,None,True,0.5073627844712182
lstm_reg,14998,20,1,False,0.95,,None,True,0.5060240963855421
lstm_reg,14998,20,1,True,0.95,,None,True,0.4979919678714859
lstm_reg,14998,20,1,False,0.95,,None,True,0.5247657295850067
lstm_reg,14998,20,1,False,0.95,15min,None,False,0.49666221628838453
lstm_reg,14998,20,1,False,0.95,,None,False,0.5353805073431241
lstm_reg,14998,20,1,True,0.95,15min,None,False,0.4953271028037383
lstm_reg,14998,20,1,False,0.95,,None,False,0.5447263017356475
lstm_reg,14998,20,1,False,0.95,,None,False,0.5180240320427236
lstm_reg,14998,20,1,False,0.95,,None,False,0.5113484646194927
lstm_reg,14998,20,1,False,0.95,,None,False,0.5246995994659546
lstm_reg,14998,20,1,False,0.95,,None,False,0.5100133511348465
lstm_reg,14998,20,1,False,0.95,,None,False,0.5220293724966623
lstm_reg,14998,20,1,False,0.95,15min,None,False,0.5060080106809078
lstm_reg,14998,20,1,False,0.95,,None,False,0.5246995994659546
lstm_reg,14998,20,1,False,0.95,15min,None,False,0.48064085447263016
