model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_reg,199961,20,1,True,0.95,,None,True,0.5040520260130065
lstm_reg,199961,20,5,True,0.95,,None,True,0.49384692346173087
lstm_reg,199961,20,5,True,0.95,,None,True,0.4963481740870435
lstm_reg,199961,20,1,False,0.95,,None,True,0.4957478739369685
lstm_reg,199961,20,5,True,0.95,1min,None,False,0.5076522956887066
lstm_reg,199961,20,1,True,0.95,1min,None,True,0.49354677338669334
lstm_reg,199961,20,5,False,0.95,,None,True,0.5094547273636818
lstm_reg,199961,20,5,False,0.95,1min,None,False,0.5010503150945284
lstm_reg,199961,20,15,False,0.95,1min,None,False,0.499499799919968
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.4980992396958783
lstm_reg,199961,20,5,False,0.95,,None,True,0.49824912456228115
lstm_reg,199961,20,5,False,0.95,1min,None,False,0.5019505851755527
lstm_reg,199961,20,5,True,0.95,1min,None,False,0.5022506752025607
lstm_reg,199961,20,5,False,0.95,,None,False,0.5000500150045013
lstm_reg,199961,20,5,True,0.95,1min,None,False,0.5124537361208362
lstm_reg,199961,20,15,False,0.95,,None,True,0.49734867433716856
lstm_reg,199961,20,5,True,0.95,,None,True,0.49214607303651825
lstm_reg,199961,20,5,False,0.95,1min,None,False,0.5017505251575473
lstm_reg,199961,20,1,True,0.95,1min,None,True,0.5044522261130565
lstm_reg,199961,20,15,False,0.95,,None,False,0.5026010404161665
lstm_reg,199961,20,5,True,0.95,1min,None,True,0.5004502251125563
lstm_reg,199961,20,5,True,0.95,1min,None,False,0.49574872461738523
lstm_reg,199961,20,5,True,0.95,1min,None,False,0.49944983495048517
lstm_reg,199961,20,5,True,0.95,1min,None,False,0.5052515754726418
lstm_reg,199961,20,5,True,0.95,1min,None,False,0.4987496248874662
lstm_reg,199961,20,5,True,0.95,1min,None,False,0.5031509452835851
lstm_reg,199961,20,5,False,0.95,,None,False,0.5082524757427228
lstm_reg,199961,20,5,False,0.95,,None,False,0.4962488746623987
lstm_reg,199961,20,1,False,0.95,,None,True,0.505352676338169
lstm_reg,199961,20,15,False,0.95,,None,True,0.4932466233116558
lstm_reg,199961,20,1,False,0.95,,None,False,0.5050515154546364
lstm_reg,199961,20,5,False,0.95,,None,False,0.4970491147344203
lstm_reg,199961,20,5,True,0.95,,None,False,0.5007502250675202
lstm_reg,199961,20,5,True,0.95,,None,False,0.5010503150945284
lstm_reg,199961,20,5,False,0.95,,None,False,0.4998499549864959
lstm_reg,199961,20,5,True,0.95,1min,None,True,0.5006503251625813
lstm_reg,199961,20,5,True,0.95,,None,True,0.48704352176088045
lstm_reg,199961,20,1,False,0.95,1min,None,False,0.5037511253376012
lstm_reg,199961,20,5,False,0.95,1min,None,False,0.49964989496849055
lstm_reg,199961,20,5,True,0.95,,None,True,0.5024512256128064
lstm_reg,199961,20,15,False,0.95,1min,None,False,0.5036014405762305
lstm_reg,199961,20,1,False,0.95,,None,True,0.5073536768384193
lstm_reg,199961,20,1,False,0.95,,None,True,0.4933466733366683
lstm_reg,199961,20,1,False,0.95,,None,True,0.4979489744872436
lstm_reg,199961,20,1,False,0.95,,None,True,0.49884942471235616
lstm_reg,199961,20,1,False,0.95,,None,True,0.49304652326163084
lstm_reg,199961,20,5,False,0.95,,None,True,0.49874937468734365
lstm_reg,199961,20,5,True,0.95,1min,None,False,0.5023507052115634
lstm_reg,199961,20,1,False,0.95,,None,True,0.5050525262631316
lstm_reg,199961,20,15,True,0.95,1min,None,False,0.5019007603041217
