model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.5
lstm_reg,39993,20,3,False,0.95,5min,None,True,0.49
lstm_reg,39993,20,3,False,0.95,,None,False,0.48
lstm_reg,39993,20,3,False,0.95,5min,None,False,0.47
lstm_reg,39993,20,3,False,0.95,5min,None,True,0.48
lstm_reg,39993,20,1,True,0.95,,None,True,0.45
lstm_reg,39993,20,3,True,0.95,,None,False,0.43
lstm_reg,39993,20,3,True,0.95,5min,None,False,0.44
lstm_reg,39993,20,3,False,0.95,5min,None,False,0.44
lstm_reg,39993,20,1,True,0.95,5min,None,True,0.41
lstm_reg,39993,20,1,True,0.95,5min,None,True,0.59
lstm_reg,39993,20,1,True,0.95,5min,None,True,0.44
lstm_reg,39993,20,1,True,0.95,5min,None,True,0.5
lstm_reg,39993,20,1,True,0.95,5min,None,True,0.47
lstm_reg,39993,20,1,True,0.95,5min,None,True,0.47
lstm_reg,39993,20,1,True,0.95,,None,True,0.46
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.54
lstm_reg,39993,20,1,True,0.95,5min,None,True,0.44
lstm_reg,39993,20,3,True,0.95,,None,True,0.41
lstm_reg,39993,20,1,True,0.95,5min,None,True,0.49
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.46
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.49
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.44
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.48
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.55
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.4
lstm_reg,39993,20,1,False,0.95,,None,False,0.5
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.42
lstm_reg,39993,20,1,True,0.95,5min,None,True,0.49
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.37
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.52
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.49
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.49
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.4
lstm_reg,39993,20,3,False,0.95,5min,None,True,0.47
lstm_reg,39993,20,3,False,0.95,5min,None,False,0.49
lstm_reg,39993,20,3,True,0.95,,None,True,0.44
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.37
lstm_reg,39993,20,3,False,0.95,5min,None,False,0.5
lstm_reg,39993,20,3,True,0.95,,None,True,0.45
lstm_reg,39993,20,1,True,0.95,5min,None,False,0.45
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.38
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.51
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.39
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.41
lstm_reg,39993,20,3,True,0.95,5min,None,True,0.45
lstm_reg,39993,20,3,False,0.95,5min,None,True,0.5
lstm_reg,39993,20,1,True,0.95,5min,None,True,0.47
lstm_reg,39993,20,3,True,0.95,,None,True,0.43
lstm_reg,39993,20,1,True,0.95,5min,None,False,0.43
