dataset,data_size,model,seq_length,dif_all,TI,index,bin_accuracy
twelve,14944,lstm,30,False,True,,0.4956521739130435
twelve,14944,lstm,30,False,True,,0.4936454849498328
twelve,14967,lstm,30,True,False,,0.5023380093520374
twelve,14967,lstm,30,False,False,15min,0.48563794255177023
twelve,14967,lstm,30,True,False,,0.4916499665998664
twelve,14944,lstm,30,False,True,15min,0.494314381270903
twelve,14944,lstm,30,True,True,,0.48963210702341137
twelve,14944,lstm,30,True,True,,0.49899665551839467
twelve,14967,lstm,30,False,False,,0.49632598530394123
twelve,14944,lstm,30,False,True,,0.4842809364548495
twelve,14967,lstm,30,True,False,15min,0.4789579158316633
twelve,14967,lstm,30,True,False,,0.503006012024048
twelve,14967,lstm,30,True,False,,0.5090180360721442
twelve,14967,lstm,30,True,False,,0.49031396125584503
twelve,14967,lstm,30,True,False,,0.5123580494321978
twelve,14967,lstm,30,True,False,15min,0.48363393453573816
twelve,14967,lstm,30,True,False,,0.4983299933199733
twelve,14967,lstm,30,True,False,,0.4916499665998664
twelve,14967,lstm,30,True,False,15min,0.48897795591182364
twelve,14967,lstm,30,True,False,,0.4863059452237809
twelve,14967,lstm,30,True,False,,0.5317301269205077
twelve,14967,lstm,30,True,False,,0.5150300601202404
twelve,14967,lstm,30,True,False,,0.48363393453573816
twelve,14967,lstm,30,True,False,,0.5070140280561122
twelve,14967,lstm,30,True,False,,0.5136940547762191
twelve,14967,lstm,30,True,False,,0.501002004008016
twelve,14967,lstm,30,True,False,15min,0.5170340681362725
twelve,14967,lstm,30,True,False,15min,0.48296593186372744
twelve,14967,lstm,30,True,False,15min,0.48296593186372744
twelve,14944,lstm,30,False,True,15min,0.5030100334448161
twelve,14967,lstm,30,True,False,15min,0.47227788911155644
