model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
tst_class,199961,20,1,False,0.95,,15,True,0.46
tst_class,199961,20,1,False,0.95,,3,False,0.53
tst_class,199961,20,1,False,0.95,1min,5,False,0.55
tst_class,199961,20,1,False,0.95,1min,10,False,0.43
tst_class,199961,20,1,True,0.95,1min,15,False,0.51
tst_class,199961,20,1,True,0.95,1min,5,False,0.56
tst_class,199961,20,1,False,0.95,1min,5,False,0.53
tst_class,199961,20,15,True,0.95,,10,False,0.57
tst_class,199961,20,5,True,0.95,1min,1,False,0.51
tst_class,199961,20,1,False,0.95,1min,15,False,0.51
tst_class,199961,20,15,True,0.95,,10,True,0.7
tst_class,199961,20,15,True,0.95,,10,True,0.52
tst_class,199961,20,15,True,0.95,,10,True,0.67
tst_class,199961,20,15,True,0.95,,10,True,0.64
tst_class,199961,20,15,True,0.95,,10,True,0.54
tst_class,199961,20,15,True,0.95,,3,True,0.51
tst_class,199961,20,5,True,0.95,,1,True,0.41
tst_class,199961,20,15,True,0.95,,10,True,0.7
tst_class,199961,20,15,True,0.95,,10,True,0.56
tst_class,199961,20,5,True,0.95,,10,True,0.58
tst_class,199961,20,15,True,0.95,,3,True,0.61
tst_class,199961,20,15,True,0.95,,10,True,0.46
tst_class,199961,20,15,True,0.95,,10,True,0.34
tst_class,199961,20,15,True,0.95,,10,True,0.64
tst_class,199961,20,15,True,0.95,,1,True,0.57
tst_class,199961,20,15,True,0.95,,10,True,0.56
tst_class,199961,20,15,True,0.95,,10,True,0.51
tst_class,199961,20,5,True,0.95,,10,True,0.63
tst_class,199961,20,15,True,0.95,,10,True,0.62
tst_class,199961,20,15,False,0.95,,15,True,0.55
tst_class,199961,20,15,True,0.95,,3,True,0.57
tst_class,199961,20,15,True,0.95,,10,True,0.52
tst_class,199961,20,15,True,0.95,,10,True,0.5
tst_class,199961,20,15,True,0.95,,10,True,0.57
tst_class,199961,20,15,False,0.95,,5,True,0.56
tst_class,199961,20,15,True,0.95,,10,True,0.53
tst_class,199961,20,5,False,0.95,,15,True,0.49
tst_class,199961,20,15,True,0.95,1min,5,True,0.57
tst_class,199961,20,1,True,0.95,,10,True,0.53
tst_class,199961,20,15,False,0.95,1min,1,False,0.56
tst_class,199961,20,1,True,0.95,1min,10,False,0.46
tst_class,199961,20,15,True,0.95,,10,True,0.56
tst_class,199961,20,15,True,0.95,,10,True,0.54
tst_class,199961,20,15,True,0.95,,10,True,0.41
tst_class,199961,20,15,True,0.95,,10,True,0.69
tst_class,199961,20,15,True,0.95,,3,True,0.57
tst_class,199961,20,1,True,0.95,,5,False,0.53
tst_class,199961,20,15,False,0.95,1min,15,True,0.46
tst_class,199961,20,5,True,0.95,,10,True,0.62
tst_class,199961,20,15,True,0.95,,10,False,0.54
