model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
tst_reg,14998,20,1,False,0.95,,None,False,0.45927903871829107
tst_reg,14998,20,1,True,0.95,,None,False,0.5020026702269693
tst_reg,14998,20,1,True,0.95,15min,None,False,0.5020026702269693
tst_reg,14998,20,1,False,0.95,15min,None,False,0.49132176234979974
tst_reg,14998,20,1,True,0.95,,None,False,0.5060080106809078
tst_reg,14998,20,1,True,0.95,,None,False,0.4712950600801068
tst_reg,14998,20,1,False,0.95,,None,True,0.5073627844712182
tst_reg,14998,20,1,False,0.95,,None,True,0.4738955823293173
tst_reg,14998,20,1,False,0.95,15min,None,True,0.500669344042838
tst_reg,14998,20,1,True,0.95,,None,False,0.5327102803738317
tst_reg,14998,20,1,True,0.95,15min,None,True,0.5274431057563588
tst_reg,14998,20,1,True,0.95,15min,None,True,0.5194109772423026
tst_reg,14998,20,1,True,0.95,15min,None,True,0.48728246318607765
tst_reg,14998,20,1,True,0.95,15min,None,True,0.5060240963855421
tst_reg,14998,20,1,True,0.95,15min,None,True,0.5033467202141901
tst_reg,14998,20,1,True,0.95,,None,False,0.507343124165554
tst_reg,14998,20,1,True,0.95,,None,False,0.47930574098798395
tst_reg,14998,20,1,True,0.95,15min,None,True,0.5180722891566265
tst_reg,14998,20,1,True,0.95,15min,None,False,0.5246995994659546
tst_reg,14998,20,1,True,0.95,,None,True,0.4966532797858099
tst_reg,14998,20,1,True,0.95,,None,False,0.5180240320427236
tst_reg,14998,20,1,True,0.95,15min,None,False,0.5126835781041389
tst_reg,14998,20,1,True,0.95,15min,None,False,0.49132176234979974
tst_reg,14998,20,1,True,0.95,15min,None,False,0.4712950600801068
tst_reg,14998,20,1,True,0.95,15min,None,False,0.48998664886515353
tst_reg,14998,20,1,True,0.95,15min,None,False,0.5420560747663551
tst_reg,14998,20,1,False,0.95,15min,None,True,0.5180722891566265
tst_reg,14998,20,1,True,0.95,15min,None,False,0.5006675567423231
tst_reg,14998,20,1,True,0.95,,None,True,0.47121820615796517
tst_reg,14998,20,1,False,0.95,,None,False,0.4606141522029373
tst_reg,14998,20,1,True,0.95,15min,None,False,0.46461949265687585
tst_reg,14998,20,1,True,0.95,15min,None,False,0.5166889185580774
tst_reg,14998,20,1,True,0.95,15min,None,False,0.49666221628838453
tst_reg,14998,20,1,True,0.95,15min,None,False,0.4939919893190921
tst_reg,14998,20,1,True,0.95,15min,None,False,0.5340453938584779
tst_reg,14998,20,1,True,0.95,15min,None,False,0.4833110814419226
tst_reg,14998,20,1,True,0.95,,None,False,0.5020026702269693
tst_reg,14998,20,1,False,0.95,15min,None,False,0.46461949265687585
tst_reg,14998,20,1,True,0.95,,None,False,0.5313751668891856
tst_reg,14998,20,1,True,0.95,,None,False,0.5180240320427236
tst_reg,14998,20,1,False,0.95,,None,False,0.49265687583444595
tst_reg,14998,20,1,True,0.95,,None,False,0.5300400534045394
tst_reg,14998,20,1,True,0.95,,None,False,0.4953271028037383
tst_reg,14998,20,1,True,0.95,,None,False,0.49666221628838453
tst_reg,14998,20,1,True,0.95,,None,False,0.5126835781041389
tst_reg,14998,20,1,True,0.95,,None,False,0.540720961281709
tst_reg,14998,20,1,True,0.95,,None,False,0.5126835781041389
tst_reg,14998,20,1,True,0.95,,None,False,0.5060080106809078
tst_reg,14998,20,1,False,0.95,,None,False,0.507343124165554
tst_reg,14998,20,1,True,0.95,,None,False,0.5113484646194927
