model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
tst_reg,39993,20,3,True,0.95,5min,None,False,0.4897448724362181
tst_reg,39993,20,1,False,0.95,,None,False,0.5107553776888444
tst_reg,39993,20,3,False,0.95,5min,None,True,0.4872308462694041
tst_reg,39993,20,3,True,0.95,5min,None,False,0.49074537268634316
tst_reg,39993,20,3,True,0.95,5min,None,True,0.49474211316975464
tst_reg,39993,20,1,True,0.95,5min,None,False,0.5147573786893447
tst_reg,39993,20,3,False,0.95,,None,True,0.5022533800701051
tst_reg,39993,20,3,False,0.95,5min,None,True,0.5012518778167251
tst_reg,39993,20,1,True,0.95,5min,None,True,0.5022533800701051
tst_reg,39993,20,1,False,0.95,5min,None,False,0.49524762381190596
tst_reg,39993,20,1,True,0.95,,None,False,0.4932466233116558
tst_reg,39993,20,1,False,0.95,,None,False,0.48874437218609307
tst_reg,39993,20,1,False,0.95,,None,False,0.4917458729364682
tst_reg,39993,20,1,True,0.95,,None,False,0.49074537268634316
tst_reg,39993,20,1,False,0.95,,None,False,0.511255627813907
tst_reg,39993,20,1,True,0.95,,None,False,0.49374687343671836
tst_reg,39993,20,1,False,0.95,5min,None,False,0.5102551275637819
tst_reg,39993,20,1,True,0.95,,None,False,0.511255627813907
tst_reg,39993,20,1,True,0.95,,None,False,0.503751875937969
tst_reg,39993,20,1,False,0.95,5min,None,False,0.4957478739369685
tst_reg,39993,20,1,False,0.95,5min,None,False,0.5097548774387194
tst_reg,39993,20,1,True,0.95,,None,False,0.5027513756878439
tst_reg,39993,20,1,True,0.95,,None,False,0.5237618809404703
tst_reg,39993,20,1,True,0.95,,None,False,0.5047523761880941
tst_reg,39993,20,1,True,0.95,,None,False,0.4917458729364682
tst_reg,39993,20,1,True,0.95,,None,False,0.5077538769384692
tst_reg,39993,20,1,True,0.95,,None,True,0.4972458688032048
tst_reg,39993,20,1,True,0.95,,None,False,0.5072536268134067
tst_reg,39993,20,1,False,0.95,5min,None,False,0.5012506253126563
tst_reg,39993,20,3,True,0.95,5min,None,False,0.49024512256128067
tst_reg,39993,20,1,True,0.95,,None,False,0.49374687343671836
tst_reg,39993,20,1,True,0.95,,None,False,0.49724862431215605
tst_reg,39993,20,1,True,0.95,,None,False,0.5137568784392196
tst_reg,39993,20,1,True,0.95,,None,False,0.49824912456228115
tst_reg,39993,20,1,True,0.95,,None,False,0.496248124062031
tst_reg,39993,20,3,True,0.95,,None,False,0.49374687343671836
tst_reg,39993,20,1,False,0.95,5min,None,True,0.49524286429644465
tst_reg,39993,20,3,True,0.95,,None,False,0.4797398699349675
tst_reg,39993,20,1,False,0.95,5min,None,True,0.4872308462694041
tst_reg,39993,20,3,True,0.95,,None,False,0.5032516258129065
tst_reg,39993,20,1,False,0.95,5min,None,True,0.49374061091637456
tst_reg,39993,20,1,True,0.95,,None,False,0.47873936968484243
tst_reg,39993,20,1,True,0.95,,None,False,0.5082541270635318
tst_reg,39993,20,1,True,0.95,,None,False,0.5137568784392196
tst_reg,39993,20,1,True,0.95,,None,False,0.5082541270635318
tst_reg,39993,20,1,True,0.95,,None,False,0.51975987993997
tst_reg,39993,20,1,True,0.95,,None,False,0.5082541270635318
tst_reg,39993,20,3,True,0.95,5min,None,False,0.49874937468734365
tst_reg,39993,20,1,True,0.95,,None,True,0.5037556334501753
tst_reg,39993,20,1,True,0.95,,None,False,0.5047523761880941
